country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,13.964,13.964,13.918,13.91,13.746,13.749,13.539,13.469,13.441,13.465,13.465,13.368,16.05,18.633,21.157,20.534,19.96,21.237,21.372,30.061,29.927
AGO,39.379,39.095,39.031,38.688,38.573,38.732,39.163,39.579,40.245,38.553,37.161,35.748,34.644,33.514,32.28,30.95,29.501,30.757,27.627,25.638,25.47
ALB,25.817,24.984,24.764,24.448,25.12,26.857,28.521,31.993,19.507,23.062,27.027,32.583,40.195,34.011,27.386,25.773,25.97,29.333,30.076,27.087,27.186
ARE,10.544,12.236,14.114,13.7,13.288,12.656,12.348,11.683,10.926,10.149,9.524,9.022,8.428,7.906,13.412,11.892,13.954,16.635,17.292,20.074,12.001
ARG,37.729,34.538,30.653,29.203,24.361,22.118,24.521,23.565,22.086,23.025,23.28,22.271,23.717,25.586,26.947,27.869,28.559,35.019,26.688,20.723,19.379
ARM,12.821,12.257,11.701,11.148,10.597,40.186,44.042,44.527,42.634,38.476,39.994,43.551,36.557,43.764,44.293,39.592,34.296,33.179,33.311,28.004,27.768
AUS,11.281,10.865,10.341,9.47,9.245,8.6,10.351,11.125,10.78,10.955,11.355,12.47,11.913,11.398,11.466,10.675,10.61,13.144,9.817,7.544,7.445
AUT,6.737,10.829,10.409,9.88,9.689,8.679,10.167,9.477,9.261,9.339,10.064,10.074,10.166,10.37,8.881,9.468,7.928,9.065,12.339,10.281,11.263
AZE,20.877,21.279,16.255,14.338,11.594,11.963,14.634,14.762,14.614,16.095,15.714,15.679,15.631,14.963,14.3,13.251,12.742,17.626,16.512,15.416,15.377
BDI,2.774,2.798,2.788,2.807,2.127,1.425,1.473,1.534,1.599,1.683,1.788,1.919,1.78,1.663,1.543,1.423,1.301,1.388,1.402,1.233,1.233
BEL,17.501,19.514,22.058,22.565,20.879,18.718,22.485,22.358,18.738,18.863,22.465,22.331,20.041,18.144,18.026,15.263,12.266,15.117,16.177,14.45,14.382
BEN,0.852,1.097,1.37,1.614,1.846,2.047,2.336,2.692,5.745,5.294,4.765,4.319,4.083,3.854,3.524,3.064,2.659,3.193,2.972,2.645,2.631
BFA,4.975,6.277,7.388,6.849,6.26,6.498,6.76,6.761,6.887,6.922,7.175,7.422,7.673,7.829,7.924,7.993,8.077,9.311,8.956,8.845,8.782
BGD,6.013,9.506,12.818,11.921,11.896,11.978,12.107,7.049,7.939,8.808,9.694,10.942,12.39,14.094,16.225,13.718,11.789,11.974,9.761,7.732,7.687
BGR,24.036,23.831,21.08,20.364,16.011,11.397,13.859,20.122,23.65,26.017,25.671,23.743,22.272,16.91,12.449,11.886,8.321,13.673,15.313,10.652,11.099
BHR,10.673,10.562,10.529,10.67,10.782,10.999,11.371,11.756,13.089,13.292,13.003,12.615,12.535,12.828,12.959,12.972,12.99,16.003,14.44,13.292,13.078
BHS,30.113,26.564,24.71,18.574,22.045,20.522,30.731,30.359,29.955,32.366,37.568,33.826,30.049,33.647,27.762,25.674,20.59,25.258,22.544,19.053,17.797
BIH,61.442,63.498,65.801,68.026,65.356,53.717,54.187,63.76,61.903,65.455,60.104,67.515,70.067,59.948,52.589,47.02,39.636,45.403,41.739,38.342,30.454
BLR,15.109,14.024,12.985,11.977,11.027,10.047,9.148,9.04,8.968,8.85,8.787,8.696,8.608,8.5,7.264,8.368,7.341,10.096,9.564,9.796,8.87
BLZ,32.209,33.698,35.38,31.007,27.058,25.949,26.319,26.561,26.659,26.606,26.598,29.421,26.018,26.457,25.91,28.056,29.847,35.825,33.571,29.99,29.023
BOL,6.178,6.416,6.673,6.915,7.246,7.503,6.616,6.558,6.545,4.564,5.56,7.057,8.335,7.729,7.59,6.901,7.562,15.917,8.669,6.7,5.377
BRA,27.169,25.754,27.385,25.552,24.348,22.817,25.603,23.577,21.8,19.85,19.409,18.897,23.675,30.996,33.119,32.231,31.877,35.308,33.539,24.664,20.909
BRB,28.034,23.897,24.901,22.847,19.805,22.324,23.495,24.826,31.201,32.487,31.623,37.456,29.697,27.718,25.59,24.111,21.057,24.654,23.278,20.814,20.06
BRN,20.441,20.954,21.536,21.918,22.301,22.723,23.392,23.735,23.994,24.447,25.256,26.112,27.429,28.626,29.555,32.663,24.104,33.313,22.956,21.819,21.99
BTN,6.508,8.512,8.408,9.601,12.196,13.298,14.363,10.879,11.244,7.024,9.779,9.843,12.47,13.39,14.464,15.578,13.422,24.794,23.992,31.127,17.796
BWA,52.307,47.075,42.253,37.275,37.601,38.145,39.767,42.305,41.686,40.354,39.507,38.68,37.974,37.213,36.351,35.034,34.301,42.864,49.149,49.44,49.986
CAF,11.451,11.2,11.131,10.92,10.821,10.66,10.784,10.97,10.847,10.671,10.49,10.365,10.447,10.36,10.218,9.989,10.104,11.588,11.553,10.623,10.452
CAN,11.787,11.816,10.59,10.313,9.834,9.815,12.062,12.135,12.038,12.263,11.585,11.463,10.771,10.687,9.564,9.375,9.339,19.436,12.536,8.92,9.993
CHE,8.718,7.36,9.083,7.463,7.389,7.393,8.953,8.697,7.893,8.002,8.776,8.56,8.394,8.402,7.976,7.45,7.161,8.006,8.286,6.823,7.606
CHL,31.626,31.339,30.385,27.717,26.871,29.521,31.272,21.634,21.238,19.153,19.338,19.453,17.794,17.361,19.684,20.638,19.884,26.024,22.594,19.879,24.323
CHN,8.471,8.306,8.366,8.226,8.141,8.661,8.977,8.698,8.855,9.033,9.197,9.385,9.558,9.478,9.362,8.691,9.607,11.388,11.163,13.318,14.178
CIV,7.309,7.481,7.682,7.791,8.111,8.298,8.56,8.707,9.265,9.47,7.367,5.755,4.404,3.045,6.308,5.645,4.938,5.705,5.475,4.752,4.708
CMR,8.094,7.299,6.629,5.824,5.029,5.816,6.668,7.566,7.384,7.168,6.953,6.735,6.769,6.836,6.941,7.037,7.121,8.253,7.933,7.181,7.136
COD,3.896,3.822,3.793,4.186,4.583,4.977,5.399,5.789,6.182,6.532,6.514,6.48,6.48,6.561,6.643,6.657,6.629,7.608,7.612,6.544,6.525
COG,38.858,39.005,38.982,38.765,39.384,39.528,39.462,38.756,39.006,39.114,39.647,39.426,39.916,40.324,40.968,41.115,40.6,45.392,43.474,39.749,39.327
COL,32.281,33.877,29.677,29.144,28.748,29.784,30.942,28.945,27.497,26.407,24.872,23.562,23.212,23.563,24.036,24.974,26.182,35.191,32.09,26.464,23.776
COM,8.557,8.606,8.64,8.682,8.78,8.823,8.89,8.896,8.989,9.095,9.184,9.359,9.448,9.518,9.508,9.476,9.567,11.543,10.826,9.441,9.402
CPV,25.513,25.546,25.755,25.901,26.012,26.26,26.789,22.293,23.839,25.373,27.148,29.141,31.206,33.321,35.589,32.021,33.513,42.084,38.285,35.158,34.676
CRI,18.344,18.611,22.19,19.89,15.291,13.466,22.221,21.052,29.089,27.56,25.595,29.744,26.651,28.046,25.756,31.659,36.071,49.463,46.834,36.879,28.515
CUB,6.072,3.915,3.986,4.051,3.428,3.553,3.489,5.569,7.231,7.502,7.414,6.563,5.465,4.618,3.49,3.868,3.878,4.851,4.564,3.886,3.805
CYP,8.799,12.129,15.058,11.282,9.228,9.186,13.674,16.791,20.713,26.136,36.064,34.279,30.93,31.977,23.236,16.188,14.678,12.343,16.453,18.607,14.622
CZE,18.809,19.474,19.079,18.646,10.967,9.928,16.699,18.486,17.962,18.996,19.447,17.101,14.434,11.397,8.745,7.194,5.989,9.139,9.044,7.912,8.88
DEU,8.046,10.221,13.986,12.153,10.816,10.526,9.897,9.038,8.16,7.563,6.991,7.017,6.392,6.183,5.851,5.206,4.818,8.018,6.303,4.858,5.234
DJI,67.867,68.121,68.53,68.906,69.313,69.688,70.62,71.313,71.793,72.104,72.671,73.387,73.851,74.404,75.346,76.415,77.363,84.904,81.589,77.791,77.736
DNK,8.957,7.05,8.578,7.476,7.377,10.334,11.557,13.135,14.381,14.804,13.327,12.834,11.135,10.824,11.884,9.228,9.721,10.611,10.938,10.453,11.251
