country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,9.47,9.478,9.456,9.464,9.362,9.384,9.252,9.222,9.22,9.255,9.269,9.21,11.537,13.803,16.031,15.073,14.142,14.449,15.033,16.289,16.219
AGO,37.584,37.288,37.218,36.872,36.761,36.938,37.411,37.871,37.771,36.929,36.402,35.858,35.657,35.448,35.136,34.717,34.15,35.31,32.636,30.903,30.636
ALB,28.948,27.934,27.432,27.002,27.826,26.412,26.488,30.102,24.858,32.438,33.413,43.321,39.3,37.257,33.662,29.554,27.588,27.326,25.414,23.247,23.325
ARE,6.084,6.333,6.695,6.582,6.461,6.219,6.124,5.871,5.576,5.246,4.961,4.728,4.414,4.13,5.195,4.685,4.917,11.986,6.939,5.827,4.143
ARG,29.607,26.021,23.239,19.944,17.39,16.765,19.004,16.727,16.609,15.452,17.281,17.153,18.08,19.376,20.22,21.12,24.012,27.238,21.008,17.745,16.867
ARM,11.295,11.751,12.218,12.694,13.182,31.448,35.63,31.099,33.984,30.516,30.636,30.039,27.779,28.739,32.249,28.729,30.848,31.374,27.938,24.873,24.67
AUS,12.596,11.833,10.877,10.539,9.466,9.009,12.471,11.935,11.921,12.449,13.032,14.107,14.235,13.815,13.648,12.834,12.834,15.241,12.611,9.344,9.251
AUT,7.984,11.133,11.856,10.193,9.512,8.756,11.554,9.843,9.095,9.755,9.504,10.903,11.561,12.345,10.949,9.664,9.483,11.419,11.76,10.366,10.73
AZE,17.113,15.437,14.434,15.055,15.167,15.363,12.565,14.434,14.399,11.921,11.265,11.285,11.245,10.956,10.527,10.052,10.266,12.808,12.975,12.313,12.257
BDI,5.041,5.097,5.088,5.138,4.073,2.954,3.065,3.21,3.369,3.575,3.838,4.17,3.754,3.39,3.022,2.659,2.282,2.012,2.209,2.236,2.23
BEL,20.069,15.755,21.0,18.802,17.103,17.346,21.485,22.418,18.712,20.414,24.685,23.979,23.784,21.711,20.198,16.157,15.943,15.5,19.908,18.131,17.655
BEN,1.119,1.174,1.242,1.286,1.322,1.345,1.405,1.486,5.089,4.621,4.097,3.645,3.365,3.084,2.73,2.296,1.905,2.74,3.494,3.613,3.595
BFA,3.82,4.722,5.437,4.95,4.426,4.795,5.191,5.368,5.649,5.844,6.24,6.635,7.078,7.431,7.723,7.989,7.937,8.58,8.394,8.318,8.089
BGD,6.799,7.191,7.492,5.763,6.577,7.412,8.269,5.845,7.113,8.362,9.661,9.625,9.601,9.562,10.066,10.692,11.455,14.361,14.931,14.277,14.088
BGR,29.299,24.981,23.365,18.954,14.544,13.822,17.916,23.243,26.031,29.527,30.206,23.796,21.248,17.43,13.249,13.191,9.293,14.581,16.13,10.8,12.718
BHR,1.912,1.803,1.743,1.802,1.872,2.026,2.278,2.429,2.64,2.736,2.727,2.67,2.675,2.758,2.828,2.837,2.822,2.856,3.109,2.596,2.757
BHS,21.029,18.539,17.238,15.101,16.965,14.675,22.918,24.137,25.246,29.511,32.999,26.147,21.661,21.052,17.399,23.27,18.792,23.655,21.676,19.228,18.35
BIH,53.343,55.502,57.889,60.231,55.801,45.147,47.009,56.239,57.37,63.683,60.489,61.986,61.774,53.707,44.872,36.615,32.556,33.324,32.312,28.006,25.635
BLR,20.703,19.212,17.786,16.396,15.09,13.739,12.507,12.5,12.545,12.526,12.591,12.617,12.656,12.667,11.271,12.669,12.88,13.771,11.354,10.712,11.89
BLZ,14.683,14.67,14.739,12.317,11.709,11.259,11.46,11.595,11.655,11.65,11.672,12.104,11.297,11.269,9.779,11.575,13.204,15.743,15.0,13.051,12.524
BOL,4.075,4.115,4.168,4.211,4.31,4.362,4.312,4.354,4.441,2.486,5.269,3.118,5.778,6.081,5.966,6.684,6.435,14.676,7.797,5.487,4.601
BRA,17.209,15.838,16.946,15.686,14.629,13.633,15.409,14.267,13.31,12.96,13.023,13.023,16.433,23.276,25.111,24.677,23.364,26.516,24.254,17.676,15.636
BRB,23.913,21.565,18.244,18.713,15.508,16.387,23.895,25.847,22.944,25.819,27.122,28.732,28.165,24.715,26.762,24.335,29.934,34.642,32.372,29.982,28.709
BRN,16.452,17.026,17.697,18.199,18.62,19.008,19.661,20.035,20.355,20.865,21.724,22.654,24.887,27.07,29.044,29.572,17.783,22.917,11.992,16.082,16.268
BTN,4.437,6.58,10.363,9.467,10.671,10.544,10.4,6.996,6.644,6.937,9.02,8.264,8.015,10.095,12.398,14.902,9.807,19.209,17.214,23.758,12.271
BWA,42.508,37.114,32.275,27.52,26.739,26.093,26.152,29.139,29.882,30.114,30.741,31.407,32.202,32.974,33.681,33.944,34.816,38.329,38.194,36.765,39.592
CAF,9.425,9.159,8.972,8.763,8.688,8.557,8.623,8.685,8.561,8.387,8.308,8.348,8.467,8.42,8.505,8.413,8.421,9.409,9.411,8.593,8.422
CAN,15.326,14.953,14.097,12.86,12.145,12.864,17.935,16.946,15.715,15.745,14.815,14.853,14.618,14.396,12.784,11.94,12.067,20.763,14.517,11.21,11.587
CHE,8.283,8.033,8.455,7.919,6.811,6.667,7.94,7.763,7.572,8.628,8.713,8.632,9.227,8.75,8.135,8.39,8.772,9.157,8.35,6.858,8.103
CHL,20.583,20.204,18.781,18.543,18.243,20.007,23.64,16.658,15.198,14.615,13.846,14.355,13.554,14.135,16.278,16.177,18.207,23.215,18.944,17.096,20.189
CHN,10.671,10.444,10.498,10.299,10.164,10.782,11.143,10.763,10.908,11.082,11.239,11.426,11.594,11.462,11.292,10.46,11.541,13.642,13.374,15.934,16.919
CIV,7.882,8.059,8.268,8.372,8.721,8.929,9.24,9.421,10.074,10.319,5.221,3.782,2.539,1.273,4.457,3.917,3.355,3.93,4.218,3.917,3.878
CMR,9.68,8.075,6.621,5.386,4.15,4.483,4.86,5.255,5.394,5.507,5.624,5.741,5.784,5.857,5.965,6.063,6.148,6.733,6.725,6.207,6.164
COD,6.556,6.429,6.382,7.012,7.648,8.277,8.955,9.577,10.204,10.759,10.728,10.67,10.67,10.815,10.96,10.984,10.932,11.697,12.037,10.742,10.715
COG,40.735,41.029,41.126,41.006,41.832,42.051,42.048,41.313,41.586,41.652,42.197,41.892,42.404,42.858,43.581,43.748,43.176,47.303,45.777,42.034,41.539
COL,20.113,21.041,17.864,17.805,17.859,18.169,18.495,18.189,16.876,15.735,14.457,14.564,13.259,14.52,14.508,15.609,16.739,21.708,19.599,17.123,16.223
COM,11.205,11.263,11.044,10.838,10.708,10.502,10.328,10.081,9.944,9.823,9.703,9.693,9.566,9.408,9.148,8.858,8.699,9.696,8.989,8.088,8.051
CPV,23.885,23.855,24.028,24.164,24.293,24.585,25.181,20.675,21.768,22.789,23.975,25.292,26.596,27.854,29.159,24.47,24.72,30.029,27.779,25.44,25.039
CRI,13.273,12.429,11.629,10.955,8.561,9.879,16.012,15.189,17.677,18.988,18.713,20.657,19.467,17.725,17.681,20.975,27.686,33.371,33.122,26.149,21.211
CUB,4.049,3.903,4.354,4.284,4.321,3.301,3.497,6.338,7.965,9.109,8.533,6.624,6.323,5.211,4.856,4.504,4.516,5.448,5.205,4.599,4.493
CYP,8.451,8.783,12.411,8.819,9.688,8.006,12.966,15.074,21.488,28.027,39.647,36.572,34.079,25.859,27.006,25.436,19.049,23.817,17.786,18.797,19.014
CZE,16.591,21.054,19.367,16.566,10.572,9.837,16.627,18.27,18.152,19.855,18.629,15.024,11.302,9.889,7.38,6.368,5.341,7.196,7.542,5.893,7.828
DEU,13.617,15.348,16.751,14.494,12.726,11.28,12.563,11.597,9.608,8.6,8.554,8.128,8.133,7.837,7.558,7.063,6.712,7.73,6.966,7.039,6.555
DJI,65.904,66.164,66.561,66.916,67.297,67.64,68.553,69.223,69.674,69.975,70.529,71.213,71.634,72.138,73.03,74.045,74.939,80.735,78.39,75.295,75.268
DNK,10.568,8.424,8.625,7.884,7.603,8.666,15.207,17.863,18.144,16.704,16.199,15.522,13.136,13.481,12.874,11.785,10.354,12.528,10.684,10.61,11.746
