country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,10.427,10.447,10.428,10.456,10.337,10.397,10.243,10.23,10.253,10.325,10.372,10.317,11.611,12.834,14.018,14.783,15.549,16.778,16.945,26.742,26.57
AGO,18.463,18.333,18.314,18.146,18.09,18.174,18.398,18.604,18.797,18.33,18.014,17.682,17.528,17.369,17.158,16.892,16.547,16.614,15.781,14.736,14.671
ALB,17.388,16.694,16.411,16.074,16.39,13.735,15.688,15.85,13.751,11.508,13.397,15.515,17.122,14.49,12.524,11.888,11.318,11.648,11.678,10.405,10.376
ARE,5.533,6.268,7.096,6.778,6.628,6.34,6.384,6.085,5.679,5.199,4.833,4.597,4.227,3.952,6.904,5.754,5.571,5.717,6.418,7.418,4.297
ARG,17.577,15.823,13.596,12.429,10.49,9.748,9.871,9.221,8.522,8.841,8.508,8.394,8.706,9.224,9.485,10.563,10.718,12.394,9.852,7.682,6.793
ARM,12.527,11.974,11.432,10.894,10.358,19.225,20.461,21.536,20.194,18.552,18.662,19.335,19.185,17.494,17.488,20.239,19.191,17.233,15.236,12.668,12.542
AUS,5.984,5.544,5.225,4.926,4.793,4.583,5.41,5.381,5.308,5.328,5.611,6.174,6.074,5.781,5.669,5.32,5.106,6.349,5.012,3.672,3.572
AUT,4.338,6.191,5.895,5.648,5.335,4.452,5.126,4.679,4.64,4.827,5.326,5.429,5.372,5.594,5.096,4.73,4.423,5.015,6.403,4.797,5.025
AZE,9.269,8.039,7.285,6.347,5.514,5.551,6.542,6.814,6.385,6.048,5.897,5.794,5.824,5.865,5.892,5.738,5.739,8.388,6.958,6.51,6.496
BDI,2.331,2.357,2.339,2.357,1.743,1.14,1.141,1.146,1.147,1.15,1.153,1.153,1.096,1.064,1.027,0.992,0.955,0.976,1.041,0.811,0.816
BEL,7.996,8.278,9.506,9.309,8.444,7.597,8.106,8.516,7.18,7.41,8.17,7.941,7.768,7.561,7.052,5.561,4.94,5.351,5.836,5.256,5.049
BEN,0.52,0.608,0.717,0.798,0.865,0.909,1.009,1.148,2.872,2.619,2.3,2.06,1.996,1.946,1.808,1.547,1.338,1.463,1.612,1.483,1.461
BFA,3.161,3.998,4.671,4.333,3.934,4.071,4.224,4.161,4.199,4.162,4.299,4.431,4.577,4.64,4.649,4.633,4.736,5.05,5.327,5.706,5.77
BGD,4.83,5.957,6.995,6.396,6.59,6.867,7.194,4.345,5.369,6.369,7.403,7.369,7.32,7.235,6.628,6.225,5.84,6.327,5.813,4.888,4.765
BGR,13.192,11.622,9.834,9.3,7.29,5.759,6.622,9.607,10.107,10.84,11.843,10.402,8.417,6.966,5.946,4.653,3.874,4.765,5.026,4.056,4.217
BHR,3.772,3.604,3.479,3.47,3.419,3.429,3.559,3.682,3.945,3.972,3.901,3.729,3.77,3.912,3.975,3.978,4.014,5.204,4.595,4.233,3.823
BHS,11.82,11.167,11.216,8.063,9.118,9.267,14.035,14.744,15.36,13.968,16.258,14.636,12.996,14.465,11.37,9.949,9.687,11.896,10.765,8.98,8.206
BIH,31.903,32.716,33.667,34.54,32.566,26.502,25.538,29.774,29.803,30.506,28.929,30.994,30.549,29.754,23.003,20.209,18.663,18.434,18.062,15.408,12.785
BLR,7.741,7.167,6.621,6.09,5.602,5.085,4.63,4.555,4.503,4.413,4.37,4.307,4.255,4.19,4.039,3.559,3.198,3.3,3.058,2.896,2.773
BLZ,15.92,16.572,17.35,15.18,13.192,12.612,12.769,12.843,12.818,12.699,12.609,14.073,11.093,11.184,9.851,11.869,13.632,16.115,15.451,13.433,12.695
BOL,3.087,3.131,3.193,3.244,3.362,3.421,3.65,3.17,2.7,2.834,3.035,2.896,3.788,4.044,4.057,3.612,3.992,9.746,5.664,4.172,3.435
BRA,14.28,13.357,13.993,12.795,12.503,11.261,12.688,11.47,10.444,9.248,8.983,8.326,10.313,13.608,14.885,14.417,14.35,16.25,16.444,11.515,9.698
BRB,12.556,10.451,10.796,9.81,8.425,9.42,9.889,10.473,12.614,12.259,11.434,12.646,8.969,8.648,8.779,8.533,7.281,8.304,8.086,7.258,6.868
BRN,7.101,7.191,7.305,7.328,7.38,7.465,7.625,7.623,7.562,7.563,7.708,7.886,8.638,9.373,10.004,10.109,7.913,8.905,6.449,5.95,5.942
BTN,2.53,3.345,3.337,3.817,4.799,5.21,5.575,4.072,4.918,2.218,3.782,3.629,3.272,3.551,3.892,4.258,3.329,6.113,6.231,8.22,4.243
BWA,26.534,24.371,22.351,20.162,19.746,19.457,19.78,21.613,21.58,21.214,21.266,21.387,21.625,21.841,21.985,21.782,22.01,22.674,26.227,26.056,27.069
CAF,6.263,6.188,6.189,6.112,6.063,6.008,6.075,6.185,6.17,6.113,6.06,6.095,6.212,6.186,6.161,6.108,6.226,6.808,7.074,6.649,6.585
CAN,7.157,6.852,6.464,6.201,5.789,5.768,7.16,7.354,7.173,6.95,6.682,6.502,6.305,6.275,5.927,5.527,5.263,9.521,7.339,5.137,5.259
CHE,4.489,4.764,5.093,4.7,4.508,3.969,4.511,5.197,4.798,4.737,4.918,4.986,4.912,5.006,5.058,5.109,4.712,5.0,5.237,4.382,4.283
CHL,12.037,13.023,12.289,11.766,10.893,12.145,13.429,9.857,8.85,8.07,7.053,7.065,7.014,7.216,7.803,8.539,8.226,11.15,9.561,8.814,9.359
CHN,3.979,3.9,3.925,3.846,3.775,3.983,4.095,3.929,3.947,3.973,3.991,4.018,4.036,3.958,3.881,3.743,3.961,4.342,3.953,4.326,4.057
CIV,5.871,5.959,6.082,6.104,6.366,6.48,6.675,6.731,7.236,7.332,5.122,3.994,3.161,2.352,3.848,3.448,3.019,3.054,2.988,2.567,2.528
CMR,5.633,5.06,4.607,4.054,3.509,3.943,4.416,4.903,4.712,4.489,4.269,4.049,4.035,4.05,4.099,4.139,4.167,4.372,4.498,4.222,4.178
COD,2.337,2.28,2.261,2.459,2.659,2.854,3.071,3.26,3.451,3.605,3.592,3.567,3.57,3.631,3.692,3.703,3.683,4.165,4.199,3.647,3.62
COG,21.157,21.172,21.076,20.856,21.174,21.223,21.11,20.601,20.728,20.781,21.114,20.976,21.278,21.535,21.939,22.032,21.709,23.433,23.213,21.436,21.218
COL,17.128,18.081,14.508,14.635,14.864,14.816,15.887,14.398,13.336,12.92,11.936,11.303,11.119,11.47,11.753,12.034,13.134,20.526,18.171,13.247,11.882
COM,4.876,4.886,4.859,4.832,4.843,4.803,4.776,4.696,4.678,4.666,4.636,4.664,4.684,4.685,4.622,4.543,4.551,5.086,5.047,4.471,4.427
CPV,13.808,13.681,13.665,13.611,13.537,13.547,13.724,10.862,11.18,11.417,11.712,12.042,12.326,12.55,12.77,11.542,11.504,13.715,13.146,11.628,11.376
CRI,8.208,8.463,9.813,8.685,6.86,6.271,9.889,9.092,11.873,10.812,9.719,10.48,10.338,10.141,9.712,11.41,14.059,21.175,20.04,15.134,10.21
CUB,3.439,2.209,2.21,2.216,1.871,1.963,1.989,2.708,3.509,3.611,3.544,3.126,2.579,2.178,1.639,1.821,1.826,2.281,2.192,1.946,1.853
CYP,4.643,6.4,6.798,5.492,4.629,4.44,5.715,6.512,7.737,11.295,15.352,15.216,14.885,13.401,11.363,8.901,8.124,7.818,8.028,7.789,6.172
CZE,9.888,9.91,9.799,8.84,6.736,5.611,7.728,8.46,7.895,8.205,8.287,7.396,6.08,4.674,3.585,2.81,2.378,2.954,3.426,2.767,3.039
DEU,9.282,10.08,10.942,10.274,8.772,7.723,7.489,6.594,5.708,5.226,4.989,4.629,4.205,3.722,3.317,2.902,2.724,3.487,3.14,2.797,2.836
