country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,7.414,7.432,7.416,7.441,7.341,7.393,7.264,7.255,7.276,7.338,7.384,7.342,8.401,9.399,10.363,10.198,10.031,10.456,10.911,13.168,13.066
AGO,14.494,14.387,14.371,14.232,14.186,14.255,14.44,14.61,14.768,14.816,14.988,15.145,15.464,15.788,16.068,16.298,16.447,16.764,15.817,14.472,14.405
ALB,16.684,16.013,15.629,15.284,15.639,12.533,12.171,12.737,13.263,14.835,17.704,19.898,17.248,16.162,14.466,12.635,11.587,11.724,11.307,9.917,9.888
ARE,2.517,2.467,2.513,2.36,2.321,2.195,2.289,2.148,1.935,1.679,1.492,1.377,1.19,1.052,1.282,1.293,1.396,3.837,2.188,1.526,1.508
ARG,13.806,11.893,10.053,8.422,7.062,6.52,7.788,6.685,6.267,6.101,6.137,6.494,6.798,7.288,7.544,8.246,9.202,10.778,7.915,6.145,5.641
ARM,8.926,9.291,9.665,10.044,10.429,14.994,18.135,17.502,17.562,16.46,14.468,15.642,17.326,17.742,17.923,17.682,17.391,19.164,15.711,14.099,13.957
AUS,5.891,5.283,4.882,4.669,4.042,3.96,5.694,5.075,4.896,5.138,5.706,5.997,6.039,5.651,5.525,5.282,5.205,6.551,5.209,3.779,3.755
AUT,5.132,5.786,5.505,5.045,4.55,3.982,5.581,5.06,4.634,4.981,5.403,5.89,6.179,6.476,5.969,5.11,4.679,5.364,6.508,5.163,5.476
AZE,9.069,7.939,7.235,6.898,7.108,6.163,4.912,4.329,4.385,4.29,4.004,3.988,4.058,4.106,4.094,4.056,4.26,6.092,5.119,4.788,4.778
BDI,3.992,4.046,4.009,4.046,3.09,2.156,2.131,2.116,2.089,2.069,2.049,2.024,1.813,1.65,1.48,1.31,1.136,1.086,1.201,1.025,1.033
BEL,7.441,6.647,7.597,7.396,6.663,6.468,7.746,8.108,7.106,7.652,8.639,9.02,9.093,8.06,7.123,6.27,5.733,5.713,6.608,5.847,5.949
BEN,0.95,0.955,0.991,0.973,0.938,0.88,0.891,0.936,2.429,2.198,1.902,1.687,1.648,1.624,1.512,1.274,1.091,1.539,1.943,1.881,1.847
BFA,2.474,3.063,3.488,3.173,2.824,3.061,3.318,3.383,3.535,3.613,3.858,4.103,4.366,4.544,4.661,4.746,4.688,5.031,5.098,5.136,5.012
BGD,4.153,3.77,3.333,2.646,3.086,3.568,4.083,2.945,3.013,3.067,3.144,3.131,3.109,3.067,3.289,3.498,3.716,4.959,5.056,4.423,4.274
BGR,14.2,12.398,10.296,8.647,6.52,5.48,6.984,10.858,12.263,13.522,13.899,12.31,9.777,8.097,6.354,5.69,4.535,5.433,5.473,4.453,4.409
BHR,0.45,0.411,0.385,0.384,0.374,0.377,0.408,0.44,0.49,0.481,0.467,0.434,0.444,0.471,0.48,0.482,0.494,0.881,0.716,0.53,0.424
BHS,9.973,9.341,9.29,7.068,6.755,7.193,14.444,14.149,13.754,14.068,16.108,13.032,11.082,11.073,8.345,10.048,9.008,12.149,11.283,9.547,9.06
BIH,25.978,26.814,27.763,28.648,26.409,21.174,23.014,25.549,25.994,26.23,26.464,25.042,25.66,22.309,18.76,17.107,13.565,14.042,12.626,10.674,9.106
BLR,12.621,11.684,10.792,9.925,9.132,8.288,7.55,7.515,7.521,7.463,7.486,7.476,7.486,7.474,7.22,5.921,5.106,4.773,4.719,4.229,4.125
BLZ,7.444,7.426,7.465,6.247,5.932,5.703,5.81,5.875,5.887,5.851,5.83,4.771,5.446,4.422,4.613,5.315,5.891,7.258,7.026,5.743,5.386
BOL,2.362,2.258,2.18,2.099,2.08,2.015,2.485,2.204,1.934,1.511,2.004,1.386,2.619,3.101,3.352,3.445,3.432,6.395,4.603,3.024,2.673
BRA,8.948,7.691,8.004,7.396,6.888,6.055,6.975,6.175,5.495,5.811,5.69,5.616,7.233,10.079,11.209,10.737,10.07,11.804,10.678,7.478,6.609
BRB,9.534,8.737,7.448,7.696,6.431,6.858,10.148,10.903,9.788,10.94,11.664,11.686,10.632,7.847,8.466,8.116,9.543,11.246,10.78,9.456,8.888
BRN,4.797,4.932,5.088,5.171,5.278,5.413,5.614,5.675,5.683,5.745,5.935,6.158,7.097,8.02,8.836,7.743,5.742,6.43,3.883,4.706,4.699
BTN,1.297,1.893,2.932,2.635,2.896,2.828,2.751,2.769,2.004,1.915,2.249,1.986,1.911,2.149,2.437,2.746,2.282,4.226,3.719,4.537,2.377
BWA,21.591,19.618,17.767,15.775,14.685,13.694,13.124,14.715,15.081,15.192,15.607,16.077,16.641,17.194,17.69,17.889,18.457,19.602,20.416,21.483,20.139
CAF,4.745,4.659,4.587,4.507,4.467,4.42,4.454,4.496,4.493,4.476,4.526,4.652,4.832,4.882,4.982,4.996,5.055,5.646,5.741,5.309,5.203
CAN,7.934,7.474,7.013,6.73,6.478,6.737,9.611,8.912,8.049,7.785,7.554,7.485,7.51,7.715,6.869,6.112,6.07,9.777,7.694,5.407,5.556
CHE,3.809,3.944,3.886,3.402,2.916,2.82,3.764,4.479,4.08,4.282,4.6,4.688,4.704,4.841,4.57,4.367,4.114,4.656,4.816,3.894,3.832
CHL,8.55,8.56,7.645,7.427,6.958,7.514,9.975,7.256,6.222,5.542,5.404,6.079,5.828,6.292,6.869,6.962,6.958,10.786,9.087,7.839,8.755
CHN,5.073,4.972,5.004,4.903,4.814,5.078,5.221,5.009,5.032,5.066,5.089,5.123,5.145,5.047,4.948,4.772,5.05,5.537,5.04,5.516,5.173
CIV,5.76,5.831,5.94,5.939,6.201,6.301,6.489,6.527,7.053,7.132,3.558,2.734,2.139,1.561,2.849,2.412,1.949,2.238,2.363,2.11,2.074
CMR,6.166,5.119,4.206,3.426,2.646,2.878,3.142,3.416,3.351,3.261,3.171,3.079,3.068,3.08,3.121,3.154,3.178,3.468,3.558,3.206,3.169
COD,3.774,3.672,3.637,3.885,4.135,4.378,4.658,4.891,5.126,5.301,5.28,5.24,5.244,5.345,5.444,5.464,5.43,6.445,6.283,5.339,5.295
COG,18.614,18.627,18.539,18.336,18.629,18.674,18.57,18.102,18.219,18.268,18.573,18.446,18.724,18.961,19.334,19.419,19.122,21.006,20.744,18.828,18.627
COL,10.547,10.744,8.769,8.733,8.77,8.902,9.396,8.857,8.119,7.812,7.298,6.99,6.719,7.07,7.151,7.449,8.249,12.807,10.925,8.655,7.968
COM,4.342,4.352,4.292,4.232,4.208,4.135,4.075,3.966,3.915,3.868,3.806,3.796,3.779,3.743,3.653,3.55,3.521,4.053,3.941,3.365,3.329
CPV,13.444,13.313,13.297,13.242,13.166,13.176,13.358,10.523,10.771,10.931,11.146,11.39,11.583,11.71,11.83,12.651,12.607,15.435,14.615,12.715,12.424
CRI,5.809,5.381,5.0,4.345,3.218,4.142,6.569,5.994,8.006,7.939,7.174,7.136,7.1,6.755,6.457,7.421,8.472,13.153,11.668,8.603,7.092
CUB,1.729,1.657,1.8,1.732,1.737,1.346,1.469,2.368,2.97,3.362,3.124,2.42,2.281,1.881,1.741,1.619,1.624,2.213,2.066,1.739,1.635
CYP,3.795,3.587,4.53,3.927,3.425,3.225,5.498,6.235,8.108,12.736,16.755,17.156,15.145,12.677,10.981,8.174,6.354,7.704,7.099,5.998,6.035
CZE,6.108,7.028,6.459,5.811,4.22,3.46,5.846,6.381,5.799,6.025,5.904,5.1,4.233,3.379,2.341,1.794,1.724,2.23,2.308,1.788,2.203
DEU,10.181,11.253,11.399,10.28,8.698,7.329,8.212,7.422,6.191,5.497,5.597,5.28,4.962,4.433,4.182,3.798,3.541,4.222,3.987,3.401,3.27
