country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,329.0,326.0,594.0,634.0,672.0,703.0,743.0,501.0,333.0,317.0,315.0,333.0,373.0,405.0,434.0,431.0,420.0,0.0,503.0,152.0,147.0
AFG,247317.0,-269194.0,250971.0,57673.0,-851298.0,215753.0,-60602.0,-167460.0,384486.0,68628.0,18119.0,233913.0,-286314.0,-143049.0,-71491.0,-36753.0,9159.0,143634.0,-548784.0,-647402.0,-48958.0
AGO,80828.0,90553.0,87050.0,95431.0,100563.0,100370.0,105077.0,122418.0,128800.0,130643.0,124478.0,84535.0,74171.0,91614.0,77731.0,61632.0,58984.0,7556.0,29094.0,-995.0,-995.0
ALB,-48517.0,-48654.0,-48893.0,-48882.0,-49770.0,-50619.0,-51657.0,-51907.0,-18630.0,-19845.0,-20681.0,-21706.0,-20500.0,-9347.0,-14901.0,-15032.0,-23094.0,-16680.0,-32848.0,-16426.0,-25357.0
AND,4924.0,4248.0,1317.0,2293.0,1566.0,947.0,-885.0,-6194.0,-363.0,-2201.0,-1642.0,-1734.0,-1873.0,1415.0,1357.0,1143.0,1245.0,572.0,1514.0,1102.0,1061.0
ARE,177237.0,176319.0,174926.0,399306.0,722380.0,523207.0,163643.0,161842.0,215183.0,225921.0,279269.0,360174.0,342468.0,195317.0,34155.0,14611.0,-125186.0,92541.0,421663.0,322773.0,300004.0
ARG,-22450.0,-22381.0,-22068.0,-20109.0,-18099.0,-12517.0,-7882.0,-5003.0,-1117.0,2978.0,5275.0,5794.0,5464.0,5215.0,4931.0,5742.0,5397.0,292.0,314.0,5589.0,4133.0
ARM,-29616.0,-30103.0,-29921.0,-29921.0,-29980.0,-29732.0,-30357.0,-30009.0,-17296.0,-16782.0,-16265.0,-15745.0,-15225.0,-14697.0,-14180.0,-13129.0,-14330.0,-13046.0,-19457.0,38001.0,75000.0
ASM,-1488.0,-1544.0,-1529.0,-1460.0,-1388.0,-1342.0,-1281.0,-1261.0,-1298.0,-1332.0,-1354.0,-1367.0,-1366.0,-1349.0,-1305.0,-1256.0,-1212.0,-653.0,-1333.0,-1305.0,-1159.0
ATG,32.0,93.0,196.0,315.0,371.0,369.0,338.0,291.0,243.0,196.0,145.0,97.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,104437.0,110072.0,131371.0,191985.0,249873.0,275773.0,235628.0,166752.0,197657.0,235776.0,215823.0,200177.0,212350.0,254648.0,255023.0,226412.0,207142.0,44447.0,116768.0,140972.0,140232.0
AUT,44362.0,55007.0,50676.0,25787.0,24616.0,25405.0,18222.0,22570.0,31887.0,45014.0,56726.0,74375.0,115175.0,65976.0,45478.0,35296.0,41090.0,39601.0,52150.0,157365.0,4819.0
AZE,13153.0,13486.0,16431.0,16909.0,17112.0,15047.0,883.0,1373.0,1686.0,1986.0,2291.0,1073.0,1073.0,4671.0,-11324.0,-37559.0,384.0,1073.0,1073.0,9086.0,-84122.0
BDI,36719.0,47091.0,17905.0,15322.0,22129.0,79319.0,184359.0,11845.0,-19513.0,22617.0,-2285.0,-6856.0,-236207.0,-109296.0,-68349.0,68141.0,14253.0,-10189.0,-14415.0,1995.0,1995.0
BEL,34472.0,35143.0,50576.0,53574.0,59911.0,66470.0,97175.0,105232.0,52464.0,45001.0,28066.0,37472.0,63536.0,28090.0,37981.0,50604.0,58469.0,43777.0,24017.0,118615.0,41679.0
BEN,4283.0,4173.0,30495.0,-15135.0,241.0,3198.0,4279.0,3947.0,4283.0,1260.0,-887.0,3667.0,3369.0,3837.0,3716.0,3372.0,3366.0,1729.0,1729.0,-192.0,-192.0
BFA,15359.0,17570.0,9795.0,-4218.0,-28202.0,-40725.0,-40148.0,-42055.0,-33391.0,-20930.0,-33212.0,-17984.0,-19726.0,-7598.0,-14780.0,-23938.0,-25240.0,-5661.0,-13079.0,-24960.0,-24957.0
BGD,-896335.0,-970264.0,-1036635.0,-1091865.0,-1133553.0,-1158420.0,-1150194.0,-1113727.0,-848910.0,-829875.0,-862944.0,-889222.0,-909223.0,-918770.0,-1037176.0,-1029069.0,-1016796.0,-1002522.0,-994722.0,-549990.0,-549918.0
BGR,-13183.0,-13604.0,-14435.0,-15184.0,-16366.0,-17595.0,-19060.0,-21668.0,-23360.0,-26334.0,-1324.0,-2180.0,-4227.0,-9482.0,-6109.0,-3873.0,-2156.0,30167.0,11756.0,26498.0,5173.0
BHR,45571.0,45413.0,45682.0,46615.0,47500.0,47674.0,46467.0,-19329.0,-26107.0,12801.0,35574.0,40815.0,36809.0,46833.0,21958.0,-25978.0,-31967.0,-5048.0,11882.0,18975.0,20002.0
BHS,949.0,1030.0,804.0,1735.0,1727.0,1474.0,1613.0,1898.0,1381.0,1047.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,0.0,481.0,1001.0,1001.0
BIH,-27396.0,-68008.0,-37086.0,-38622.0,-65335.0,-68140.0,-68182.0,-67228.0,-64875.0,-66378.0,-37002.0,-35683.0,-33948.0,-32173.0,-30650.0,-29147.0,-27841.0,-26840.0,-25865.0,-485.0,-485.0
BLR,-10795.0,-10424.0,-15451.0,-8303.0,-4013.0,-495.0,13610.0,10300.0,5686.0,10903.0,10550.0,14979.0,18088.0,8272.0,3337.0,8615.0,-33954.0,-33954.0,-33954.0,-8000.0,-3034.0
BLZ,1870.0,1980.0,2073.0,2321.0,2521.0,2627.0,2728.0,1639.0,1582.0,1524.0,1505.0,1456.0,1596.0,3313.0,1705.0,187.0,-606.0,64.0,-173.0,5936.0,595.0
BMU,-114.0,-182.0,-69.0,-171.0,27.0,32.0,-2.0,-201.0,-196.0,-237.0,-125.0,-99.0,-117.0,0.0,221.0,302.0,286.0,286.0,286.0,0.0,0.0
BOL,-19621.0,-17385.0,-15594.0,-14107.0,-13669.0,-13418.0,-13055.0,-12590.0,-12106.0,-11689.0,-11369.0,-10971.0,-10525.0,-10071.0,-9669.0,-9344.0,-8981.0,-4663.0,-4663.0,-3008.0,-3008.0
BRA,-55350.0,-76661.0,-88868.0,-90634.0,-107481.0,-141056.0,-220207.0,-261539.0,-235860.0,-179707.0,-157228.0,-145732.0,-173611.0,-92989.0,-156296.0,-230334.0,-129216.0,-78437.0,-208581.0,-253639.0,-240059.0
BRB,248.0,273.0,330.0,317.0,308.0,526.0,296.0,-36.0,-54.0,-64.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,0.0,-28.0,-80.0,-80.0
BRN,1383.0,1261.0,1163.0,1030.0,2291.0,2409.0,2489.0,2479.0,1399.0,346.0,285.0,303.0,356.0,415.0,440.0,450.0,456.0,462.0,0.0,0.0,0.0
BTN,3921.0,3642.0,848.0,-1283.0,-1553.0,-1538.0,-1305.0,-922.0,-464.0,20.0,309.0,452.0,450.0,1116.0,287.0,287.0,287.0,287.0,287.0,291.0,291.0
BWA,4488.0,4314.0,4283.0,4270.0,3926.0,4343.0,4960.0,5151.0,-1019.0,-6636.0,-7836.0,-8893.0,-9599.0,-10286.0,-10916.0,-11623.0,-11770.0,-11330.0,-4083.0,-7306.0,-6487.0
CAF,-18097.0,-16510.0,-13604.0,-41282.0,-30352.0,-28983.0,-28899.0,-43126.0,-86281.0,-111764.0,-112382.0,-174051.0,-63045.0,-52607.0,-58584.0,-52954.0,-36849.0,-24745.0,-85646.0,-17430.0,-14682.0
CAN,185643.0,194611.0,204526.0,202175.0,213801.0,238083.0,244463.0,225369.0,227075.0,243748.0,239813.0,192884.0,224332.0,329455.0,372685.0,420224.0,387685.0,256592.0,198867.0,459988.0,433842.0
CHE,42567.0,39484.0,33203.0,37308.0,72475.0,94430.0,69324.0,76388.0,67194.0,67840.0,83823.0,78122.0,71876.0,71009.0,45658.0,41253.0,44517.0,55523.0,50665.0,96424.0,45098.0
CHL,9225.0,11495.0,14289.0,17285.0,20170.0,22488.0,24324.0,26048.0,28086.0,30870.0,36529.0,52702.0,55689.0,135864.0,220621.0,237807.0,181339.0,26042.0,65480.0,59374.0,62679.0
CHN,-613223.0,-770977.0,-103701.0,-759559.0,-1042019.0,-764370.0,-177135.0,-184144.0,-416189.0,-58864.0,-188951.0,-371108.0,-646941.0,-153056.0,-94625.0,-198206.0,-656091.0,-91577.0,-379749.0,-293846.0,-567724.0
CIV,-99880.0,-108869.0,-117342.0,-124651.0,-130079.0,-150037.0,-168027.0,-182689.0,-200010.0,-232712.0,-250964.0,-23011.0,522.0,18568.0,-796.0,5395.0,2043.0,-12390.0,1322.0,26777.0,6002.0
CMR,-18568.0,-19444.0,-27775.0,-28528.0,-10807.0,-10720.0,-10203.0,-9366.0,-12669.0,-7523.0,-6900.0,96599.0,42008.0,13255.0,-37912.0,-9184.0,-12255.0,-9888.0,-9888.0,-4798.0,-4798.0
COD,-106731.0,4260.0,20384.0,-29715.0,-99742.0,-82339.0,-46009.0,8823.0,40891.0,53668.0,121097.0,36966.0,-17711.0,440748.0,176290.0,-124246.0,-144920.0,-1633.0,-64639.0,-14991.0,-14992.0
COG,26280.0,25412.0,38337.0,35475.0,31239.0,1774.0,86014.0,12318.0,5262.0,-26643.0,-24605.0,-21598.0,-18207.0,-14783.0,-11601.0,-8856.0,-6268.0,-4472.0,-4476.0,-995.0,-995.0
COL,-33114.0,-25949.0,-41465.0,-39303.0,-49634.0,-63313.0,-46901.0,-34220.0,-46385.0,-56070.0,-64789.0,-67522.0,-41123.0,104373.0,431072.0,495524.0,396826.0,227130.0,199070.0,183180.0,154521.0
COM,-4112.0,-2455.0,-2760.0,-3020.0,-3147.0,-3294.0,-3553.0,-3832.0,-3897.0,-3835.0,-2365.0,-2667.0,-2815.0,-2938.0,-2920.0,-2917.0,-2916.0,-1766.0,-1766.0,-2002.0,-2002.0
CPV,-2898.0,-2993.0,-2768.0,-2408.0,-2200.0,-2340.0,-2618.0,-5069.0,-7226.0,-6779.0,-6622.0,-6578.0,-6226.0,-6004.0,-5550.0,-4679.0,-4001.0,-3362.0,0.0,-1253.0,-1226.0
CRI,5216.0,4856.0,4567.0,4321.0,4080.0,3794.0,3432.0,2357.0,1695.0,1587.0,1579.0,1589.0,1617.0,1649.0,1671.0,1673.0,1653.0,1029.0,1018.0,1006.0,995.0
CUB,-24916.0,-16776.0,-16561.0,-12619.0,-19050.0,-29427.0,-35063.0,-34121.0,-35313.0,-36101.0,-37619.0,-39426.0,-24910.0,-24146.0,-23394.0,-23779.0,-23955.0,-11976.0,-11976.0,-23149.0,-22797.0
