country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,2136039.0,2414460.0,2166139.0,2107510.0,3057655.0,2833116.0,2887114.0,3054699.0,2664423.0,2586132.0,2556483.0,2596259.0,2666294.0,2501447.0,2624265.0,2681267.0,2727556.0,2594827.0,2712869.0,5661717.0,6403144.0
AGO,329573.0,228842.0,215811.0,206482.0,186137.0,171374.0,141006.0,134851.0,128657.0,19253.0,10274.0,9468.0,11855.0,8388.0,8292.0,8243.0,8176.0,8196.0,11403.0,12021.0,11506.0
ALB,10382.0,10474.0,12718.0,14079.0,15335.0,15007.0,15707.0,14771.0,13552.0,12569.0,10104.0,10156.0,10404.0,11060.0,12168.0,13512.0,15027.0,15523.0,19847.0,20865.0,21919.0
AND,7.0,,10.0,10.0,10.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,,,,,,,5.0,
ARE,16.0,69.0,31.0,260.0,305.0,255.0,411.0,418.0,484.0,580.0,84.0,84.0,91.0,103.0,137.0,169.0,155.0,181.0,160.0,199.0,229.0
ARG,777.0,789.0,850.0,888.0,1164.0,1039.0,604.0,553.0,506.0,435.0,381.0,311.0,186.0,120.0,121.0,112.0,99.0,99.0,124.0,194.0,300.0
ARM,13158.0,13409.0,13965.0,14913.0,15435.0,16333.0,18004.0,17553.0,16491.0,15937.0,11995.0,11839.0,11211.0,10707.0,10786.0,11040.0,10962.0,10334.0,12255.0,14868.0,15072.0
ATG,5.0,13.0,13.0,18.0,24.0,25.0,27.0,28.0,32.0,45.0,50.0,53.0,56.0,82.0,99.0,107.0,117.0,108.0,105.0,58.0,67.0
AUS,12.0,11.0,41.0,29.0,57.0,37.0,23.0,38.0,38.0,47.0,27.0,27.0,21.0,15.0,10.0,10.0,20.0,20.0,16.0,36.0,29.0
AUT,68.0,44.0,62.0,30.0,19.0,15.0,15.0,10.0,10.0,15.0,5.0,5.0,,,10.0,24.0,18.0,18.0,23.0,41.0,23.0
AZE,253248.0,250584.0,233678.0,126068.0,15922.0,16321.0,16945.0,16756.0,16168.0,15541.0,10808.0,10508.0,9707.0,10118.0,10893.0,11246.0,11626.0,101468.0,39478.0,42116.0,158098.0
BDI,531626.0,485753.0,438695.0,396533.0,375720.0,281583.0,94221.0,84053.0,101282.0,73354.0,72636.0,72477.0,292750.0,408066.0,439320.0,387850.0,380900.0,372951.0,323635.0,320702.0,319857.0
BEL,40.0,41.0,95.0,63.0,53.0,58.0,66.0,80.0,88.0,91.0,76.0,76.0,66.0,44.0,52.0,50.0,34.0,28.0,29.0,28.0,53.0
BEN,274.0,299.0,402.0,207.0,265.0,315.0,409.0,438.0,460.0,451.0,294.0,330.0,400.0,479.0,572.0,659.0,721.0,606.0,730.0,811.0,905.0
BFA,852.0,575.0,602.0,373.0,557.0,719.0,983.0,1141.0,1262.0,1458.0,1578.0,1853.0,2147.0,2352.0,2694.0,11447.0,11733.0,15694.0,20209.0,29914.0,54869.0
BGD,5563.0,5733.0,7303.0,7796.0,10235.0,10097.0,10428.0,10046.0,10047.0,10159.0,9720.0,10868.0,12154.0,13842.0,16780.0,21022.0,22766.0,18948.0,22672.0,23935.0,24126.0
BGR,2565.0,2227.0,4250.0,3431.0,3306.0,3036.0,2743.0,2558.0,2322.0,2143.0,1875.0,1644.0,1264.0,799.0,716.0,620.0,566.0,510.0,455.0,790.0,393.0
BHR,50.0,52.0,40.0,56.0,65.0,72.0,72.0,81.0,213.0,294.0,274.0,344.0,422.0,461.0,497.0,540.0,557.0,534.0,416.0,312.0,304.0
BHS,,,,12.0,14.0,11.0,12.0,17.0,184.0,195.0,208.0,216.0,216.0,298.0,378.0,421.0,501.0,534.0,736.0,781.0,1067.0
BIH,300012.0,228813.0,109931.0,199948.0,78267.0,74358.0,70006.0,62996.0,58572.0,51815.0,26787.0,21883.0,18763.0,18194.0,17690.0,16956.0,16556.0,15578.0,18189.0,19466.0,19318.0
BLR,7817.0,8226.0,8849.0,9368.0,4961.0,5376.0,5518.0,5735.0,5916.0,6181.0,4387.0,4296.0,4117.0,3831.0,3650.0,3526.0,3425.0,3139.0,4632.0,11598.0,15071.0
BLZ,9.0,6.0,5.0,13.0,13.0,18.0,16.0,21.0,29.0,35.0,37.0,42.0,48.0,58.0,64.0,68.0,73.0,68.0,81.0,65.0,72.0
BMU,,,,,,,,,,,,,,,,,,,,,5.0
BOL,260.0,280.0,263.0,371.0,423.0,455.0,570.0,589.0,615.0,616.0,594.0,594.0,566.0,530.0,520.0,502.0,514.0,535.0,549.0,578.0,468.0
BRA,377.0,401.0,370.0,703.0,1623.0,1401.0,973.0,991.0,1040.0,1073.0,982.0,977.0,893.0,803.0,851.0,1038.0,1399.0,1548.0,1954.0,2740.0,3798.0
BRB,8.0,10.0,8.0,28.0,39.0,33.0,28.0,29.0,42.0,50.0,63.0,82.0,95.0,144.0,172.0,211.0,243.0,230.0,265.0,231.0,298.0
BRN,,,47.0,,,,,,,,,,,,,,,,,,
BTN,103977.0,105259.0,106539.0,108069.0,110593.0,104960.0,89064.0,75062.0,57980.0,41582.0,31556.0,23633.0,17709.0,11757.0,7954.0,7100.0,6839.0,6741.0,6702.0,6688.0,6676.0
BWA,5.0,5.0,,10.0,16.0,29.0,32.0,56.0,88.0,125.0,165.0,234.0,306.0,265.0,279.0,289.0,228.0,191.0,122.0,81.0,150.0
CAF,35394.0,31056.0,42875.0,71669.0,98092.0,125090.0,159542.0,164902.0,162861.0,164567.0,252854.0,412028.0,471093.0,490879.0,545513.0,590858.0,610152.0,642161.0,737658.0,748344.0,759187.0
CAN,61.0,57.0,120.0,94.0,530.0,100.0,97.0,86.0,108.0,121.0,94.0,89.0,73.0,76.0,75.0,81.0,71.0,65.0,60.0,186.0,223.0
CHE,34.0,11.0,14.0,38.0,33.0,32.0,19.0,20.0,20.0,16.0,11.0,16.0,16.0,5.0,5.0,5.0,5.0,5.0,,8.0,
CHL,1549.0,1183.0,929.0,798.0,964.0,988.0,1305.0,1163.0,1182.0,1145.0,588.0,571.0,554.0,495.0,493.0,479.0,486.0,659.0,987.0,1500.0,1901.0
CHN,132390.0,134708.0,124086.0,140584.0,149087.0,175169.0,180546.0,184601.0,190369.0,193449.0,195121.0,210793.0,212911.0,207768.0,207716.0,212039.0,212863.0,175361.0,170222.0,161366.0,160565.0
CIV,33625.0,23649.0,18333.0,26304.0,22222.0,22218.0,23148.0,41747.0,154818.0,100709.0,85650.0,71956.0,71107.0,46811.0,40009.0,38316.0,39351.0,37525.0,39940.0,25148.0,25994.0
CMR,6215.0,7631.0,9096.0,10373.0,11499.0,13852.0,14752.0,14952.0,15149.0,13360.0,11410.0,10739.0,10565.0,10344.0,11032.0,45118.0,66241.0,78481.0,125477.0,147352.0,110715.0
