country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,24.0,31.0,31.0,34.0,43.0,37.0,36.0,6434.0,3011.0,16184.0,16861.0,300421.0,257553.0,59770.0,75927.0,72228.0,72227.0,72278.0,66949.0,52159.0,34826.0
AGO,13375.0,13963.0,13978.0,13086.0,12064.0,12704.0,14722.0,15142.0,16212.0,23401.0,23771.0,15468.0,15547.0,15547.0,41119.0,39856.0,25793.0,25791.0,26045.0,25514.0,25174.0
ALB,24.0,49.0,53.0,56.0,68.0,57.0,69.0,75.0,79.0,84.0,96.0,111.0,109.0,141.0,124.0,132.0,120.0,105.0,109.0,2676.0,5079.0
ARE,160.0,106.0,104.0,176.0,161.0,204.0,280.0,538.0,675.0,628.0,602.0,419.0,663.0,888.0,884.0,1167.0,1242.0,1315.0,1355.0,1399.0,1416.0
ARG,2631.0,2898.0,3051.0,3132.0,3247.0,2824.0,3209.0,3257.0,3341.0,3468.0,3340.0,3473.0,3187.0,3267.0,3332.0,3442.0,3857.0,3965.0,4050.0,4094.0,4104.0
ARM,239289.0,235233.0,219547.0,113713.0,4564.0,3952.0,3605.0,3292.0,2913.0,2849.0,13727.0,17635.0,19314.0,17883.0,17968.0,17966.0,17980.0,107910.0,34728.0,34634.0,150080.0
ATG,,,,,,,,,,,,,15.0,5.0,,,,,,,
AUS,56242.0,63478.0,64955.0,68942.0,22161.0,20915.0,22543.0,21790.0,23423.0,30061.0,34485.0,35565.0,36917.0,42187.0,48480.0,56934.0,58529.0,57411.0,55606.0,54430.0,34502.0
AUT,16097.0,17777.0,21212.0,25475.0,30767.0,37546.0,38895.0,42613.0,47055.0,51707.0,55575.0,60724.0,72198.0,93242.0,115252.0,128779.0,135951.0,141816.0,152514.0,258613.0,257811.0
AZE,324.0,8604.0,3004.0,2619.0,2351.0,2060.0,1643.0,1894.0,1727.0,1467.0,1377.0,1298.0,1279.0,1193.0,1120.0,1130.0,1109.0,1572.0,1676.0,6414.0,5771.0
BDI,40970.0,48807.0,20679.0,13174.0,24482.0,21092.0,24965.0,29364.0,35658.0,41811.0,45487.0,52931.0,53356.0,57462.0,62353.0,71501.0,78465.0,75461.0,81491.0,84636.0,85229.0
BEL,12583.0,13522.0,15277.0,16811.0,17578.0,17025.0,15536.0,17891.0,22396.0,22023.0,25617.0,29170.0,35302.0,42158.0,42158.0,42158.0,61662.0,64973.0,74063.0,150713.0,167831.0
