country_code,2005,2010,2015
ABW,32540.0,34327.0,36114.0
AFG,87300.0,102246.0,382365.0
AGO,61329.0,76549.0,106845.0
ALB,64739.0,52784.0,57616.0
AND,50298.0,52053.0,42082.0
ARE,3281036.0,7316611.0,8095126.0
ARG,1673088.0,1805957.0,2086302.0
ARM,469119.0,221560.0,191199.0
ASM,24233.0,23555.0,23216.0
ATG,24741.0,26412.0,28083.0
AUS,4878030.0,5882980.0,6763663.0
AUT,1136270.0,1275992.0,1492374.0
AZE,302220.0,276901.0,264241.0
BDI,172874.0,235259.0,286810.0
BEL,870862.0,1052844.0,1387940.0
BEN,171499.0,209267.0,245399.0
BFA,596972.0,673904.0,704676.0
BGD,1166700.0,1345546.0,1422805.0
BGR,61074.0,76287.0,102113.0
BHR,404018.0,657856.0,704137.0
BHS,45595.0,54736.0,59306.0
BIH,47272.0,38792.0,34803.0
BLR,1106982.0,1090378.0,1082905.0
BLZ,41424.0,46360.0,53860.0
BMU,18276.0,18884.0,19126.0
BOL,107745.0,122846.0,142989.0
BRA,638582.0,592568.0,713568.0
BRB,30624.0,32825.0,34475.0
BRN,98441.0,100587.0,102733.0
BTN,40279.0,48420.0,51106.0
BWA,88829.0,120912.0,160644.0
CAF,94449.0,93466.0,81598.0
CAN,6078985.0,7011226.0,7835502.0
CHE,1805437.0,2075182.0,2438702.0
CHL,273384.0,369436.0,469436.0
CHN,678947.0,849861.0,978046.0
CIV,2010824.0,2095185.0,2175399.0
CMR,258737.0,289091.0,381984.0
COD,622869.0,588950.0,545694.0
COG,315238.0,419649.0,392996.0
COL,107612.0,124271.0,133134.0
COM,13209.0,12618.0,12555.0
CPV,12700.0,14373.0,14924.0
CRI,358175.0,405404.0,421697.0
CUB,17023.0,14818.0,13336.0
CUW,,34627.0,37611.0
CYM,21655.0,24057.0,23726.0
CYP,117165.0,187923.0,196167.0
CZE,322540.0,397785.0,405093.0
DEU,10299160.0,11605690.0,12005690.0
DJI,92091.0,101575.0,112351.0
DMA,4744.0,5765.0,6720.0
DNK,440383.0,509740.0,572520.0
DOM,376001.0,393720.0,415564.0
DZA,247537.0,244964.0,242391.0
ECU,187404.0,325366.0,387513.0
EGY,274001.0,295714.0,491643.0
ERI,14314.0,15676.0,15941.0
ESP,4107226.0,6280065.0,5852953.0
EST,233701.0,217890.0,202348.0
ETH,514242.0,567720.0,1072949.0
FIN,192169.0,248135.0,315881.0
FJI,12435.0,13351.0,13751.0
FRA,6737600.0,7196481.0,7784418.0
FRO,4583.0,5096.0,5517.0
FSM,2905.0,2805.0,2756.0
GAB,214123.0,243992.0,268384.0
GBR,5926156.0,7604583.0,8543120.0
GEO,199805.0,182202.0,168802.0
GHA,304436.0,337017.0,399471.0
GIB,9211.0,10369.0,11065.0
GIN,229611.0,205111.0,228413.0
GMB,181905.0,185763.0,192540.0
GNB,20736.0,21061.0,22333.0
GNQ,6588.0,8658.0,10825.0
GRC,1190707.0,1269749.0,1242514.0
GRD,6902.0,6980.0,7057.0
GRL,6686.0,6226.0,6009.0
GTM,57252.0,66384.0,76352.0
GUM,74743.0,75416.0,76089.0
GUY,10868.0,13126.0,15384.0
HKG,2721235.0,2779950.0,2838665.0
HND,27875.0,27288.0,28070.0
HRV,579273.0,573248.0,576883.0
HTI,30468.0,35104.0,39529.0
HUN,366787.0,436616.0,449632.0
IDN,289568.0,305416.0,328846.0
IMN,41475.0,43447.0,45221.0
IND,5923642.0,5436012.0,5240960.0
IRL,589046.0,730542.0,746260.0
IRN,2568930.0,2761561.0,2726420.0
IRQ,132915.0,117389.0,353881.0
ISL,25492.0,35091.0,37522.0
ISR,1889503.0,1950615.0,2011727.0
ITA,3954790.0,5787893.0,5788875.0
JAM,24314.0,23677.0,23167.0
JOR,2325414.0,2722983.0,3112026.0
JPN,2012916.0,2134151.0,2043877.0
KAZ,3102962.0,3334623.0,3546778.0
KEN,756894.0,926959.0,1084357.0
KGZ,312897.0,231511.0,204382.0
KHM,114031.0,81977.0,73963.0
KIR,2487.0,2868.0,3153.0
KNA,6682.0,7245.0,7443.0
KOR,485546.0,919275.0,1327324.0
KWT,1333327.0,1871537.0,2866136.0
LAO,20371.0,21185.0,22244.0
LBN,756784.0,820655.0,1997776.0
LBR,87188.0,99129.0,113779.0
LBY,625212.0,683998.0,771146.0
LCA,11468.0,12100.0,12771.0
LIE,18898.0,22342.0,23493.0
LKA,39526.0,38959.0,38706.0
LSO,6290.0,6414.0,6572.0
LTU,201209.0,160772.0,136036.0
LUX,150618.0,163142.0,249325.0
LVA,376725.0,313786.0,263126.0
MAC,279308.0,318506.0,342703.0
MAR,54379.0,70909.0,88511.0
MCO,21312.0,21132.0,21042.0
MDA,173957.0,157668.0,142904.0
MDG,26058.0,28905.0,32075.0
MDV,45045.0,73604.0,94086.0
MEX,712487.0,969538.0,1193155.0
MHL,2417.0,3089.0,3284.0
MKD,127667.0,129701.0,130730.0
MLI,256797.0,336607.0,363145.0
MLT,24560.0,33084.0,41442.0
MMR,83025.0,76414.0,73308.0
MNE,,78507.0,82541.0
MNG,11475.0,16061.0,17620.0
MNP,37542.0,24168.0,21648.0
MOZ,204830.0,214612.0,222928.0
MRT,58119.0,84679.0,138162.0
MUS,19647.0,24836.0,28585.0
MWI,221661.0,217722.0,215158.0
MYS,1722344.0,2406011.0,2514243.0
NAM,106274.0,102405.0,93888.0
NCL,55405.0,61158.0,64290.0
NER,124461.0,126464.0,189255.0
NGA,648019.0,920118.0,1199115.0
NIC,34918.0,37333.0,40262.0
NLD,1736127.0,1832510.0,1979486.0
NOR,361144.0,526799.0,741813.0
NPL,679457.0,578657.0,518278.0
NRU,2253.0,2112.0,3178.0
NZL,839952.0,947443.0,1039736.0
OMN,666160.0,816221.0,1844978.0
PAK,3171132.0,3941586.0,3628956.0
PAN,117563.0,157309.0,184710.0
PER,77541.0,84066.0,90881.0
PHL,257468.0,208599.0,211862.0
PLW,6043.0,5787.0,5664.0
PNG,29967.0,25424.0,25782.0
POL,722509.0,642417.0,619403.0
PRI,352144.0,304969.0,274972.0
PRK,40097.0,44010.0,48458.0
PRT,771184.0,762825.0,837257.0
PRY,168243.0,160299.0,156462.0
PSE,266617.0,258032.0,255507.0
PYF,32286.0,31640.0,30058.0
QAT,646026.0,1456413.0,1687640.0
ROU,145162.0,155982.0,226943.0
RUS,11667588.0,11194710.0,11643276.0
RWA,432797.0,436787.0,441525.0
SAU,6501819.0,8429956.0,10185945.0
SDN,541994.0,578363.0,503477.0
SEN,238298.0,256092.0,263242.0
SGP,1710594.0,2164794.0,2543638.0
SLB,3271.0,2760.0,2585.0
SLE,149615.0,97452.0,91213.0
SLV,36019.0,40324.0,42045.0
SMR,4218.0,4399.0,4717.0
SOM,20670.0,23995.0,25291.0
SRB,845120.0,826066.0,807441.0
SSD,,257905.0,824122.0
STP,3433.0,2700.0,2394.0
SUR,33664.0,39713.0,46836.0
SVK,130491.0,146319.0,177190.0
SVN,197276.0,253786.0,235966.0
SWE,1125790.0,1384929.0,1639771.0
SWZ,27097.0,30476.0,31579.0
SXM,13100.0,26200.0,27295.0
SYC,8997.0,11420.0,12791.0
SYR,876410.0,1661922.0,875189.0
TCA,9945.0,10875.0,11688.0
TCD,352062.0,416924.0,516968.0
TGO,203379.0,255262.0,276844.0
THA,2163447.0,3224131.0,3913258.0
TJK,280444.0,278152.0,275059.0
TKM,213051.0,197979.0,196386.0
TLS,11286.0,10983.0,10834.0
TON,4301.0,5022.0,5731.0
TTO,44812.0,48226.0,49883.0
TUN,35040.0,43172.0,56701.0
TUR,1319236.0,1367034.0,2964916.0
TUV,183.0,154.0,141.0
TZA,770846.0,308600.0,261222.0
UGA,652968.0,529160.0,749471.0
UKR,5050302.0,4818767.0,4834898.0
URY,82318.0,76263.0,71799.0
USA,39258293.0,44183643.0,46627102.0
UZB,1329345.0,1220149.0,1170899.0
VCT,4395.0,4485.0,4577.0
VEN,1070562.0,1331488.0,1404448.0
VGB,13808.0,15558.0,17308.0
VIR,56647.0,56684.0,56721.0
VNM,51768.0,61756.0,72793.0
VUT,2800.0,2991.0,3187.0
WSM,5746.0,5122.0,4929.0
YEM,171073.0,285837.0,344131.0
ZAF,1210936.0,1943099.0,3142511.0
ZMB,252749.0,149637.0,127915.0
ZWE,392693.0,397891.0,398866.0
