country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,37.807,38.761,40.121,41.03,40.863,40.316,40.324,40.073,39.793,38.299,36.672,34.863,32.348,30.102,27.289,24.049,22.123,20.554,18.615,18.768
AFG,143.75,136.93,130.838,121.635,117.754,118.979,109.655,105.648,101.659,95.245,89.337,84.069,81.043,78.13,75.3,73.021,70.967,68.877,66.599,65.339
AGO,152.242,155.118,157.066,158.737,159.675,160.424,162.773,160.204,157.573,155.512,153.536,151.577,150.244,148.905,147.407,146.305,145.094,144.329,143.383,141.978
ALB,15.889,17.662,18.216,16.517,15.882,18.855,19.237,19.725,20.638,21.339,21.632,21.767,20.656,18.518,16.778,15.456,14.949,14.004,13.002,12.827
AND,8.335,8.712,9.064,9.383,9.034,9.328,8.092,8.037,7.621,6.616,5.362,4.947,4.936,4.576,4.326,3.832,3.526,3.119,3.5,3.527
ARE,25.441,25.461,27.083,25.138,19.697,13.084,11.779,11.4,10.103,8.785,7.941,6.326,5.432,4.598,4.547,3.74,3.292,3.032,2.563,2.879
ARG,60.002,61.681,63.546,64.156,64.562,66.357,65.923,65.927,66.764,64.852,66.104,66.613,63.879,58.79,55.022,49.926,41.751,31.492,28.54,25.767
ARM,32.048,32.104,30.055,28.542,27.88,28.827,29.88,31.803,31.179,29.525,26.982,25.716,25.103,24.38,21.153,18.657,16.328,13.735,13.66,13.487
ASM,42.685,41.905,38.191,35.852,33.607,34.624,35.118,35.792,38.084,40.138,42.076,43.059,42.174,39.45,37.274,35.427,34.278,34.149,34.214,34.104
ATG,53.866,51.976,50.109,48.992,49.104,54.489,50.957,42.685,40.725,37.781,34.252,34.168,35.946,31.44,31.069,28.173,31.691,33.916,33.751,33.469
AUS,16.34,16.144,16.491,16.11,17.127,18.189,17.814,17.069,16.307,16.038,14.697,13.072,12.038,10.939,10.235,9.741,8.763,7.726,7.089,6.747
AUT,13.327,13.629,12.833,12.01,11.172,11.187,10.464,10.338,9.331,8.898,8.254,7.784,7.848,7.505,6.897,5.715,5.29,4.907,4.426,4.205
