country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,10.3,,13.6,18.6,,22.8,,21.8,21.23950997,,,,22.5,,,,,,,,
AGO,,,,,,,20.0,,,,,,,13.7,,,,,,,
ALB,,,60.12268719,,,,69.3,,,,,,,,,46.0,,,,,
ARG,,,,,,,,,,,72.3702102000994,,,,,,,70.1027087175867,,,
ARM,,,53.1,,,,,54.9,,,,,57.1491968847188,57.1,,,,,,,
AUS,,,,65.162,,,61.96,,,67.75,,,,66.93,,,,,,,
AUT,,,,,,,69.5999999999999,,,,65.6525747141987,,,,,,,,,,
AZE,,,,51.1,,,,,54.9,,,,,,,,,,,,
BDI,,,9.107053278,,,,22.7,21.9,,31.7,,,,28.5443378957827,28.5,,,,,,
BEL,,,,,,,,73.7,,,66.7531663383057,,,,,66.7,,,,,
BEN,,,,17.0,,,,,,12.9,,17.86317125,,,,15.5,,,,22.4,
BFA,13.8,,,17.47090032,,,,16.2,,,,18.4027244222173,21.2255711763823,25.3518966327923,25.7148818498789,,32.5079672864091,29.6316269868584,33.8,33.9627403568433,
BGD,,58.5,,,55.8,,,,61.2,,61.75754302,62.4,,62.8,,61.9,62.7017699496291,,,64.0,
BGR,,,64.4,,70.1,,,,,,,,,,,,,,,,
BIH,,,,35.7088405,,,,,,46.01743031,,,,,,,,,,,
BLR,,,72.60969384,,,,,,,63.05790059,,,,,71.15,,52.6,,,,
BLZ,,,,,,,,,55.15686025,,,,,51.3596636,,,,,,,
BOL,58.4,,,,,60.6,,,,,,,,66.5,,,,,,,
BRA,,,,,80.6,,,,,,80.2004995714604,,,,,,,,,,
BRB,,,,,,,,,,59.20685012,,,,,,,,,,,
BTN,,,,,,,,65.60409679,,,,,,,,,,,,,
BWA,,,,,69.7,,,,,,,,,,67.4,,,,,,
CAF,,,,19.01581185,,,,15.18044076,,,,,,,,,17.8,,,,
CHE,,,,,,,,,,72.9594,,,,,71.6,,,,,,
CHL,,,,64.2,,,,,,,,,,76.2635245751857,,,,,,,
CHN,,,,84.6,,,,,,,,,,,84.5,,,,,,
CIV,,,,14.60509609,,,,,,18.2,,,,15.49988895,22.2671897514271,21.4880612405033,,25.5373304407527,21.0,31.9711571456027,
CMR,,26.0,,29.20094465,,,,,23.4,,,34.34239566,,,,19.3,,,,,
COD,,,,,20.6,,,17.72319667,,,,20.4,,,,28.1286863587728,,,,,
COG,,,44.3,,,,,,,44.7,,,30.11949285,,,,,,,,
COL,,,78.2,,,,,79.1,,,,,81.0,,,,,,,,
COM,,,,,,,,,,19.4,,,,,,,,,,11.6,
CPV,,,61.3,,,,,,,,,,,,,55.8,,,,,
CRI,,,,,,,,82.1,76.2477885,,,,77.8,,,70.9,,,,,
CUB,,,,,,,,,74.31548663,,,73.71987482,,,,,69.0951384694291,,,62.1,
CZE,,,78.2,,,86.3,,,,,,,,,,,,,,,
DEU,,,68.4,,,50.4,,,80.3,,,,,,,,,,,,
DJI,,,,17.83382615,,,,,,19.0,,,,,,,,,,,
DOM,,,,61.3,72.9,,,73.0,,,71.9,69.50153139,,,,,62.7779892966591,,,,
DZA,,,,61.4,,,,,,,57.12173594,,,,,,53.6,,,,
ECU,,72.7,,,,,,,,80.1,,74.7006683049229,,,,77.8500417459495,,,,,
EGY,60.0,,59.2,,,60.3,,,,,,58.5,,,,,,,,,
ERI,,,,,,,,8.7,,,,,,,,,,,,,
ESP,,,,65.7,,,70.0949735821081,,,,,,,,,62.0757,,,,,
EST,,,63.4,66.716939234148,,,,64.1190491491065,,,,75.0978731759999,,,,,,,,,
ETH,,,14.7,,,,,,28.6,,,42.0,36.9015173518834,35.9,36.2869662786329,40.0000610107691,41.4,37.7,36.0705648652283,,
FIN,,,,,74.2222222222222,,,,,,,,85.4748603351955,,,,,,,,
FJI,,,,,,,,,,,,,,,,,,,35.4,,
FRA,,,76.5999999999999,,,75.0,,78.4,,,,,,,,,,,,,
GAB,,,,,,,,,,31.1,,,,,,,,,24.8,,
GBR,84.0,84.0,82.0,82.0,,,84.0,,,76.1,,,,,,,,,,,
GEO,,,31.54265452,45.9,,,32.2,53.4,,,,,,,,39.25737653,,,,,
GHA,25.2,,,16.63177256,,23.5,,,34.69978307,,19.5699501268415,26.7,32.8821925534908,28.1963990081464,30.8,27.2444255990948,,,,36.3,
GIN,,,9.1,,,,,,,5.6,,,,8.64023074,,10.9,,,,,
GMB,,,,,,,,13.28850913,,,9.0,,,,,16.68179131,,18.9,,,
GNB,,,,10.2696058,,,,14.2,,,,15.96114322,,,,,21.201503046269,,,,
GNQ,,,,,,,,,12.6,,,,,,,,,,,,
GTM,,,,,,,54.1,,,,,,60.6,,,,,,,,
GUY,,,34.6,,34.16822215,,42.5,,,,,33.89188879,,,,,,29.8771395174816,,,
HKG,,,,,79.5,,,,,74.8,,,,,66.7,,,,,,
HND,,,,65.2,,,,,,73.2,,,,,,,69.3736806153714,,,,
HTI,,,,32.0,,,,,,34.5,,,,,34.3,,,,,,
HUN,,,,,,,61.8,,,,,,,,,,,,,,
IDN,60.3,56.7,57.9,57.9,61.4,56.6,60.6,61.0,61.3,61.9,62.0,61.6,60.0,59.4,63.6,,52.5,52.7,51.9,52.4,52.6
IND,,53.0,54.4,56.3,,54.8,,,,,,,,53.5,,,,,66.7,,
IRL,,73.6904761904762,64.8,,,,,73.2626619552415,,,,,,,,,,,,,
IRN,,,,,,,,77.4,,,,,,,,,,,,,
IRQ,,,,49.84756674,,,,,52.45781096,,,,,,,52.78881501,,,,,
ITA,,,,,,,,,,,65.1,,,,,,,,,,
JAM,69.1,,,,,72.5,,,,,,,,,,,,,,60.6,
JOR,,,,,56.8,,59.3,,,61.2,,,,,,51.8,,,,,60.1
JPN,,52.0,54.3,,,,,,,,,54.7302981185498,39.8,,,,,,58.3383869011522,,
KAZ,,,,50.70393556,,,,,50.9960363,,,,55.69399923,,,52.98,,,,,
KEN,39.3,,,,,,45.5,,,,,58.0,64.0789073661562,61.1741487617736,59.9682382404727,61.9209893809262,59.8006521261165,65.1162106221682,64.7,62.5,
KGZ,,,,47.76110807,,,,,,36.3,,41.91864521,,,,39.3763412,,,,,
KHM,,,40.0,,,,,50.5,,,,56.3,,,,,,,,61.9,
KIR,,,,,,20.0,22.3,,,,,,,,,,33.6,,,,
KOR,84.5,,80.2,79.6,,,80.0,,,77.1,,,79.6,,,82.3,,,84.22,,
LAO,,,38.4,,,,,,,49.64620322,,,,,56.2757987,,,,,,
LBN,,58.0,,,,,54.5,,,,,,,,,,,,,,
LBR,,,,,11.4,,,,,,20.2,,,,,,,24.9,,,
LBY,44.5,,,,41.9,,,,,,,27.7,,,,,,,,,
LCA,,,,,,,,,,55.47194257,,,,,,,,,,,
LKA,,,,,68.4,,,,,,,,,64.6,,,,,,,
LSO,,37.3,,,,,47.0,,63.4227770494969,,,60.2,,,,64.9305733,,,,,
LTU,,,,65.1,,,68.5800604229607,,,,,,,,,,,,,,
MAR,,63.0,,,,,,,67.4,,,,,,,70.8,,,,,
MDA,,,67.8,,,,,,,59.45506793,,,,,,,,56.0,,,
MDG,,27.1,,,,,39.9,,,,39.8,,,,47.9,44.38884842,,,49.7,,
MDV,,39.0,,,,,34.7,,,,,,,,18.8,,,,,,
MEX,74.5,,,70.9,,,72.5,,,,,72.3,66.90078956,,,73.10006,,,,,71.8482508570646
MHL,,,,,44.6,,,,,,,,,,,,,,,,
MKD,,,,,,,,,40.37709211,,,,,,,,59.8676426711758,,,,
MLI,,,,8.2,,,,9.798936329,,,10.3,,15.57167489,,,17.2,,,,,
MMR,,,,,41.0,,,,,,,,,52.2,,,,,,,
MNE,,,,39.58535141,,,,,,,23.20209561,,,,,20.7,,,,,
MNG,69.0,,65.97498227,,,55.2,,,54.9059143,,54.58329359,,,,,48.1348813,,,,,
MOZ,16.5,,,,,16.19194295,11.6,,11.6,,,,27.1,,,,,,,,26.4
MRT,,,,,9.3,,,,11.4,,,,17.8,,,,,,14.3,,
MUS,,,,,,,,,,,,63.8,,,,,,,,,
MWI,,32.5,,41.0162764,,,,46.1,,,,58.59982232,,59.2,,,,65.6131232873079,,,
MYS,,49.0,,,,,,,,,,52.2,,,,,,,,42.8,
NAM,,,,,55.1,,,,,,56.1,,,,,,,,,,
NER,,,,11.2,,,,,,13.9,,,14.7,16.9861752333206,11.1,,,,11.0,14.5747167731228,15.2564802562511
NGA,12.6,,,,14.67709276,14.6,,,17.54732001,13.5,15.1,,,22.1202885298537,13.39285083,16.6,,,21.6,,
NIC,,,,,72.4417895271988,,,,,80.4,,,,,,,,,,,
NLD,75.0,,,,,75.0,,,,,73.0,,,,,,,,,,
NPL,,38.3,,48.0,,,,,49.7,,,49.62671555,,52.6,,,46.6681216103216,,,57.2,
NRU,,,,,35.6,,,,,,,,,,,,,,,,
OMN,,,,,,24.4,,,,,,29.7,,,,,,,,,
PAK,32.1,,,26.0,29.6,27.0,,,,29.0,35.4,32.0,,,,34.2,34.0,,,,
PAN,,,,,,,62.5,,,,62.83116646,,50.8,,,,,,,,
PER,,,,71.3,,72.4,73.2,74.4,75.4,75.5,74.0,74.6,74.6,76.2,75.4,76.3,75.9,77.4,78.1,77.95,77.3
PHL,48.9,49.3,49.3,50.6,,50.7,,,48.9,,55.1,,,,54.3,,,,,58.3,
PNG,,,,32.4,,,,,,,,,,,,36.7,,,,,
POL,,,,,,,,,50.5,,,63.2,,,,,,,,,
PRK,,67.6,,69.1,,,,70.6,,,,78.2,,,70.2,,,,,,
PRT,,,,85.1085340055987,,,,,,,,73.8869860463731,,,,,,,,,
PRY,,72.8,,,,79.4,,,,,,,,68.35988695,,,,,,,
PSE,,50.8,,50.2,,,,52.5232375,,,,57.16260552,,,,,,57.3,,,
QAT,,,,,,,,,,37.52185226,,,,,,,,,,,
ROU,,70.3,69.8,,,,,,,,,,,,,,,,,,
RUS,,68.5,,,63.0,,,64.9,68.0,,,,,,,,,,,,
RWA,,,17.4,,,36.4,,51.6,,,,,53.2,,,,,64.1,,,
SAU,,,,,23.8,,,,,,,,,24.6463703881643,,,27.6,,,,39.9921873361432
SDN,,,,9.5,,,,9.055340788,,,,12.77805417,,,,,,,,,
SEN,,,11.8,,,,,,13.1,,17.8,22.2,23.3,25.1,27.8,27.1,26.9,,,,26.5
SLB,,,,,34.6,,,,,,,,29.3,,,,,,,,
SLE,,,,5.253615515,,8.2,,11.01261892,,,16.6,,,,22.52056185,,21.2,,,,
SLV,67.3,,,,,72.5,,,,,,71.83256637,,,,,,,53.6,,
SOM,,,,14.59527888,,,,,,,,,,,,,6.9,,,,
SRB,,,,41.29240737,,,,60.83519849,,,,58.39362879,,,,,62.2958961009131,,,,
SSD,,,,3.5,,,,4.000601836,,,,,,,,,,,,,
STP,,,,30.7,,,38.4,,,,,40.48463076,,,,,49.6820543663491,,,,
SUR,,,,45.64332861,,,,47.60297893,,,,,,,,39.12159292,,,,,
SWZ,,,,,50.6,,,65.19109455,,,,66.14127978,,,,,,,,57.7,
SYR,,,,58.29429438,,,53.9,,,,,,,,,,,,,,
TCA,,,,,,,,,,,,,,,,,,34.3868182094481,,,
