country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,75.898,75.872,75.992,76.109,76.252,76.404,76.64,77.57,77.709,77.899,77.961,78.124,78.139,78.203,78.25,78.708,78.814,78.333,76.417,78.691,78.779
AFG,58.472,59.073,59.588,60.123,60.804,61.428,61.791,62.283,62.852,63.344,63.814,64.009,64.178,64.64,65.606,65.942,66.144,64.656,64.079,67.236,67.536
AGO,52.181,53.074,54.051,54.811,56.041,57.162,58.129,59.221,60.21,61.157,62.009,62.728,63.412,64.009,64.527,65.057,65.506,65.774,65.441,66.753,67.144
ALB,78.329,78.753,79.303,79.943,80.584,81.076,81.282,81.108,80.916,80.589,80.387,80.267,80.451,80.625,80.795,81.001,81.06,80.345,79.002,80.781,81.446
AND,85.116,84.979,85.272,85.593,85.976,86.292,86.611,86.684,86.692,86.669,86.652,86.626,86.584,86.468,86.322,86.196,86.101,83.84,84.678,86.075,86.107
ARE,81.11,81.737,82.222,82.585,82.837,82.986,83.044,83.044,83.021,83.01,83.046,83.157,83.328,83.529,83.732,83.912,84.047,83.9,80.926,82.115,84.204
ARG,77.808,78.177,78.632,78.437,77.925,78.577,78.593,78.732,79.402,78.672,78.623,79.15,79.795,79.131,79.204,79.505,79.439,78.783,76.86,78.318,79.875
ARM,75.9,76.1,76.2,76.0,76.1,76.3,76.3,76.4,77.3,77.5,77.9,78.1,78.2,78.3,78.7,79.0,79.5,78.6,77.4,78.3,81.0
ASM,74.59,75.125,75.125,75.043,74.947,75.03,73.123,75.199,75.286,75.372,75.418,75.296,75.268,75.305,75.588,75.687,75.723,75.682,75.73,75.794,75.838
ATG,78.276,78.179,78.298,78.575,78.817,79.165,79.509,79.879,80.234,80.379,80.325,80.138,79.973,79.923,79.88,79.887,79.844,79.813,79.757,80.154,80.294
AUS,82.8,83.0,83.3,83.5,83.7,83.7,83.9,84.0,84.2,84.3,84.3,84.4,84.5,84.6,84.6,84.9,85.0,85.3,85.4,85.3,85.1
AUT,81.5,82.1,82.2,82.8,83.1,83.3,83.2,83.5,83.8,83.6,83.8,84.0,83.7,84.1,84.0,84.1,84.2,83.6,83.7,83.6,84.0
AZE,69.939,70.371,70.712,71.603,71.789,72.318,72.61,73.101,73.517,73.888,74.52,74.818,75.344,75.342,75.622,75.946,76.235,73.799,73.744,76.674,77.134
BDI,52.735,53.805,54.589,55.47,56.308,57.104,57.917,58.532,59.251,59.95,60.689,61.33,61.874,62.502,63.124,63.615,64.028,64.58,64.111,64.916,65.697
BEL,81.1,81.9,81.9,82.3,82.6,82.6,82.8,83.0,83.3,83.1,83.2,83.9,83.4,84.0,83.9,83.9,84.3,83.0,84.3,83.9,84.6
BEN,58.409,58.565,58.903,59.13,59.365,59.095,59.178,59.265,59.33,59.45,59.798,59.96,60.096,60.291,60.632,60.752,61.069,61.569,60.825,61.75,62.208
BFA,53.361,53.977,54.656,55.218,55.808,56.646,57.229,57.791,58.494,58.954,59.416,59.874,60.364,60.768,61.195,61.604,61.948,62.314,61.831,62.558,63.222
BGD,65.321,66.01,66.668,67.273,67.743,68.451,69.058,69.687,70.323,70.944,71.538,72.095,72.597,73.066,73.51,73.953,74.399,73.428,72.847,76.051,76.373
BGR,75.6,76.2,76.3,76.3,76.3,76.6,77.1,77.2,77.8,77.9,78.6,78.0,78.2,78.5,78.4,78.6,78.8,77.3,74.9,77.9,79.6
BHR,76.926,77.222,77.551,77.918,78.326,78.772,79.25,79.733,80.196,80.611,80.95,81.19,81.344,81.432,81.478,81.507,81.54,80.954,78.844,81.809,81.987
BHS,76.538,76.542,76.767,76.873,76.939,77.008,77.061,77.05,77.151,77.301,77.586,77.749,77.443,77.757,77.725,77.731,74.176,76.788,74.145,78.09,78.187
BIH,79.594,79.819,79.816,79.607,79.683,79.833,80.159,80.214,80.246,80.324,80.35,80.19,80.177,80.089,80.086,81.435,80.463,79.393,77.649,80.728,80.903
BLR,74.7,75.0,75.1,75.5,76.2,76.5,76.4,76.5,76.7,77.6,77.9,78.4,78.9,79.0,79.2,79.4,79.4,77.428,77.176,79.002,79.065
BLZ,72.599,72.954,73.042,73.233,73.359,73.376,73.584,73.715,73.874,74.142,74.34,74.552,74.803,74.986,75.217,75.45,75.668,74.463,73.796,75.104,76.495
BMU,82.533,83.052,83.264,83.42,83.526,83.572,83.64,83.835,84.138,84.353,84.439,84.535,84.543,84.562,84.647,84.842,85.033,85.195,85.385,85.566,85.742
BOL,65.782,66.134,66.523,66.825,67.303,67.636,67.964,68.323,68.588,68.879,69.105,69.3,69.552,69.757,69.951,70.132,70.266,67.126,65.25,70.255,71.145
BRA,74.337,74.824,75.292,75.744,76.191,76.585,76.93,77.257,77.532,77.816,78.062,78.273,78.472,78.539,78.781,78.977,79.023,77.599,76.401,78.094,78.983
BRB,77.036,77.295,77.184,77.229,77.513,77.537,77.728,77.642,77.752,77.86,77.952,78.055,78.157,78.271,78.296,78.427,78.536,78.649,78.72,78.274,78.615
BRN,76.823,76.912,76.976,77.03,77.06,77.08,77.087,77.082,77.097,77.092,77.107,77.107,77.124,77.145,77.181,77.23,77.286,77.35,77.032,74.813,77.555
BTN,66.31,66.949,67.547,68.258,68.886,69.44,69.816,70.512,71.052,71.513,71.894,72.215,72.487,72.876,73.246,73.585,73.898,74.191,74.365,74.722,74.965
BWA,54.66,55.38,56.279,56.709,58.395,59.376,60.481,61.487,61.903,62.417,63.176,64.087,65.183,66.387,67.612,68.696,69.585,70.358,65.511,71.247,71.698
CAF,48.105,48.459,48.979,49.553,50.184,50.701,20.006,49.364,51.809,52.838,52.2,45.664,54.187,53.853,50.067,55.201,38.771,54.011,46.032,25.552,59.29
CAN,82.23,82.42,82.52,82.91,82.91,83.05,83.33,83.54,83.68,83.82,83.85,83.91,83.89,84.04,84.0,83.96,84.32,83.84,83.96,83.54,83.89
CHE,83.2,83.7,83.9,84.0,84.2,84.4,84.4,84.5,85.0,84.9,85.0,85.4,85.1,85.6,85.6,85.7,85.8,85.1,85.8,85.5,85.9
CHL,80.758,81.103,81.262,81.205,81.252,81.292,81.299,81.536,81.543,81.508,81.763,81.983,82.297,82.549,82.783,82.776,82.549,82.031,81.486,81.566,83.084
