country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,70.488,70.487,70.741,70.791,70.93,71.058,71.201,70.997,71.378,71.685,72.043,72.245,72.496,72.691,72.802,72.88,73.047,72.344,70.794,73.537,73.702
AFG,55.849,56.519,56.88,56.974,57.122,57.984,58.681,59.097,59.625,60.099,60.534,60.495,60.363,60.661,59.388,59.175,59.91,58.455,57.052,63.941,64.467
AGO,48.258,49.17,50.203,51.107,52.345,53.386,54.308,55.253,55.976,56.677,57.404,58.068,58.68,59.237,59.727,60.199,60.609,60.509,60.498,61.748,62.099
ALB,72.864,73.242,73.663,74.183,74.922,75.531,75.842,75.825,75.792,75.66,75.666,75.83,76.281,76.662,76.997,77.448,77.834,75.429,74.742,76.751,77.728
AND,80.734,80.99,81.24,81.501,81.676,81.846,82.037,82.138,82.188,82.271,82.361,82.493,82.581,82.569,82.462,82.359,82.183,75.823,80.216,82.083,82.1
ARE,78.825,79.518,80.035,80.42,80.708,80.918,81.063,81.157,81.215,81.249,81.272,81.298,81.333,81.378,81.434,81.504,81.588,80.797,77.872,79.381,81.978
ARG,70.796,71.5,71.767,72.021,71.574,72.192,72.449,72.542,72.739,72.851,72.963,73.303,73.367,73.044,73.791,73.951,74.163,72.981,71.113,73.249,74.805
ARM,69.9,70.1,70.1,69.8,69.8,70.0,70.0,70.1,70.5,70.9,71.5,71.8,71.7,71.6,71.9,72.4,73.1,68.4,67.4,71.4,74.1
ASM,69.183,69.791,69.973,70.061,70.072,70.116,68.789,70.24,70.296,70.309,70.379,70.33,70.294,70.24,70.304,70.211,70.105,69.995,70.023,70.055,70.202
ATG,72.153,72.272,72.236,72.254,72.432,72.778,73.049,73.305,73.579,73.588,73.537,73.438,73.536,73.711,73.859,74.04,74.143,74.157,74.295,74.461,74.549
AUS,77.8,78.1,78.5,78.7,79.0,79.2,79.3,79.5,79.7,79.9,80.1,80.3,80.4,80.4,80.5,80.7,80.9,81.2,81.3,81.2,81.1
AUT,75.9,76.4,76.6,77.1,77.4,77.7,77.6,77.8,78.3,78.4,78.6,79.1,78.8,79.3,79.4,79.4,79.7,78.9,78.8,79.1,79.2
AZE,63.982,64.447,64.566,65.23,65.378,66.226,66.949,67.324,67.425,68.064,68.243,68.818,69.126,69.546,69.564,69.92,70.217,66.846,68.184,71.462,71.561
BDI,49.207,50.567,51.458,52.395,53.296,54.003,54.874,55.599,56.313,57.008,57.628,58.162,58.318,59.039,59.531,59.965,60.31,60.545,60.089,60.844,61.599
BEL,75.3,76.0,76.2,76.6,77.1,76.9,77.4,77.5,78.0,77.8,78.1,78.8,78.7,79.0,79.2,79.4,79.8,78.5,79.4,79.7,80.3
BEN,55.705,56.061,56.511,56.741,57.075,57.051,57.29,57.466,57.552,57.629,57.895,58.026,58.123,58.251,58.404,58.648,58.694,58.734,58.392,59.198,59.347
BFA,50.465,51.127,51.79,52.255,52.85,53.652,54.25,54.79,55.401,55.853,56.283,56.682,57.087,57.476,57.861,58.243,58.335,58.504,58.19,58.773,58.921
BGD,63.378,63.94,64.476,64.951,65.305,65.789,66.161,66.521,66.891,67.275,67.684,68.167,68.682,69.233,69.803,70.379,70.933,69.584,69.484,72.566,73.032
BGR,68.7,69.1,69.0,69.1,69.2,69.5,69.9,70.0,70.7,70.9,71.3,71.1,71.2,71.3,71.4,71.5,71.6,69.6,67.7,70.6,72.0
BHR,74.417,74.714,75.045,75.425,75.87,76.396,76.997,77.63,78.242,78.78,79.191,79.434,79.54,79.558,79.543,79.546,79.615,77.195,77.46,80.304,80.672
BHS,70.019,70.055,70.189,70.177,70.129,70.035,70.002,69.99,70.112,70.219,70.374,70.407,70.255,70.425,70.43,70.468,68.617,69.35,67.463,70.883,70.906
BIH,72.701,72.594,72.491,72.004,72.185,72.317,72.752,72.949,73.183,73.273,73.439,73.535,73.547,73.739,74.241,74.077,73.961,72.512,71.403,72.716,74.424
BLR,62.7,63.2,62.9,63.6,64.5,64.7,64.7,64.6,64.7,66.6,67.3,67.8,68.6,68.9,69.3,69.2,69.3,67.101,67.21,69.438,69.535
BLZ,67.444,67.765,68.02,68.227,68.341,68.353,68.445,68.466,68.512,68.583,68.67,68.779,68.948,69.136,69.339,69.605,69.871,69.047,68.383,69.587,70.928
BMU,74.938,74.859,74.658,74.534,74.685,74.865,75.084,75.305,75.474,75.636,75.849,76.133,76.412,76.68,76.96,77.311,77.607,77.823,78.166,78.565,78.855
BOL,61.303,61.675,62.015,62.399,62.749,63.13,63.51,63.846,64.134,64.447,64.609,64.797,65.016,65.186,65.284,65.43,65.537,59.654,58.374,64.788,66.128
BRA,67.558,68.019,68.485,68.953,69.368,69.733,70.076,70.392,70.654,70.945,71.246,71.462,71.818,71.716,72.069,72.365,72.653,71.537,69.81,71.73,72.76
BRB,72.512,72.821,72.561,72.691,72.838,72.893,73.02,73.163,73.274,73.443,73.51,73.629,73.784,73.898,74.009,74.163,74.287,74.477,74.284,73.046,73.631
BRN,72.553,72.641,72.723,72.799,72.841,72.868,72.867,72.876,72.881,72.884,72.887,72.896,72.911,72.935,72.969,73.014,73.068,73.128,72.935,71.216,73.328
BTN,63.305,63.927,64.503,65.056,65.724,66.323,66.782,67.319,67.814,68.305,68.724,69.081,69.39,69.659,69.891,70.153,70.427,70.636,70.84,71.105,71.305
BWA,51.042,51.758,52.487,53.469,55.023,55.892,56.106,56.793,57.508,58.313,59.213,60.203,61.209,62.228,63.221,64.057,64.775,65.04,61.206,66.291,66.673
CAF,46.565,46.988,47.489,47.881,48.529,49.102,12.383,44.487,48.445,49.861,46.878,35.706,49.682,48.189,40.86,49.403,26.386,47.219,35.327,15.387,55.26
CAN,77.32,77.68,77.82,78.29,78.29,78.51,78.91,79.21,79.39,79.61,79.74,79.76,79.86,79.94,79.73,79.76,80.11,79.34,79.19,79.06,79.51
CHE,78.0,78.6,78.7,79.1,79.4,79.7,79.8,80.1,80.5,80.6,80.7,81.1,80.8,81.7,81.6,81.9,82.1,81.0,81.8,81.8,82.3
CHL,74.978,75.415,75.589,75.797,75.996,76.165,76.424,76.607,76.882,76.901,77.302,77.414,77.689,78.008,78.401,78.323,78.098,76.76,76.348,76.828,79.24
CHN,70.931,71.27,71.595,71.904,72.326,72.361,72.801,73.191,73.334,73.624,73.881,74.119,74.365,74.575,74.448,75.034,75.303,75.245,75.486,75.467,75.201
CIV,50.579,50.969,51.356,51.882,52.353,52.856,53.325,53.814,54.445,55.013,55.462,56.268,56.731,57.176,57.622,58.063,58.493,58.242,58.496,59.649,60.016
CMR,53.061,53.382,53.746,54.064,54.42,54.771,55.045,55.444,55.93,56.49,56.992,57.237,57.764,58.351,58.835,59.111,59.629,59.465,59.071,60.326,61.522
COD,51.158,51.892,52.371,52.915,53.419,53.84,54.151,54.827,55.327,55.68,56.101,56.543,56.931,57.32,57.703,58.062,58.358,58.373,57.999,58.885,59.792
COG,56.511,57.348,58.045,58.729,59.15,59.763,60.075,60.593,60.981,61.358,61.561,61.953,62.222,62.445,62.731,62.964,61.708,62.689,62.671,63.411,64.122
COL,68.474,69.054,69.573,69.986,70.297,70.815,71.252,71.617,72.001,72.478,72.805,73.002,73.172,73.33,73.523,73.663,73.907,71.49,69.288,73.56,74.95
COM,58.671,58.981,59.309,59.651,59.891,60.36,60.71,61.156,61.511,61.824,62.177,62.423,62.721,63.009,63.336,63.555,63.792,63.725,63.262,64.507,64.786
CPV,66.002,66.61,66.98,67.425,67.546,67.933,68.162,68.712,69.1,69.549,69.739,70.101,70.444,70.76,71.198,71.342,72.127,69.775,71.01,72.692,72.856
CRI,75.696,75.925,76.29,76.388,76.353,76.42,76.644,76.628,76.981,77.314,77.525,77.553,77.516,77.256,77.305,77.22,77.603,76.769,75.0,76.472,78.129
CUB,75.322,75.204,75.382,75.285,75.53,75.596,75.641,75.921,76.09,76.154,75.98,75.728,75.573,75.276,74.914,75.045,75.0,74.968,70.694,75.2,75.672
CUW,70.38,70.488,70.606,70.663,70.821,71.008,71.174,71.611,71.846,72.208,72.427,72.454,72.373,72.032,72.129,72.179,72.237,72.164,71.46,72.394,72.456
CYM,72.063,72.054,72.26,72.388,72.564,72.835,73.166,73.593,74.137,74.74,75.197,75.426,75.714,75.986,76.268,76.502,76.678,76.803,76.872,77.609,77.981
CYP,76.444,76.569,76.714,76.9,77.233,77.251,77.878,78.173,78.467,78.721,78.984,79.051,79.153,79.213,79.304,79.387,79.317,78.916,78.228,78.345,79.635
CZE,72.0,72.6,72.9,73.5,73.7,74.0,74.2,74.4,74.8,75.1,75.2,75.8,75.7,76.1,76.1,76.2,76.4,75.3,74.1,76.1,77.0
DEU,75.6,75.9,76.2,76.4,76.9,77.2,77.3,77.5,77.9,78.1,78.1,78.7,78.3,78.6,78.7,78.6,79.0,78.7,78.4,78.33,78.2
DJI,56.076,55.981,56.295,56.673,57.046,57.466,58.105,58.506,59.105,59.452,59.845,60.073,60.43,60.949,61.319,61.69,61.968,61.656,61.345,63.058,63.525
DMA,69.354,69.404,69.436,69.434,69.323,69.328,69.221,69.091,68.968,68.884,68.775,68.671,67.755,68.564,66.594,68.756,68.564,68.44,67.156,68.121,68.214
DNK,74.9,75.2,75.6,75.9,76.0,76.3,76.5,77.1,77.8,78.1,78.3,78.7,78.8,79.0,79.2,79.1,79.5,79.7,79.6,79.5,80.0
DOM,67.715,67.714,68.159,68.302,68.351,68.406,68.397,68.612,68.861,69.163,69.451,69.686,69.7,69.415,70.073,70.292,69.898,68.925,68.308,70.657,70.532
DZA,70.837,71.478,71.76,72.003,72.192,72.464,72.721,73.017,73.266,73.493,73.68,73.85,73.992,74.106,74.177,74.255,74.35,71.733,73.845,74.74,74.895
