country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,,,,,,,,,,,,12.1,,,,,,,,
AGO,,,,,28.6,,,,42.5,,,,,34.5,,,,,,,
ALB,,,,,,,2.8,,,,,,,,,3.5,,,,,
ARM,,,4.7,,,,,4.9,,,,,,3.6,,,,,,,
AZE,,,,6.3,,,,,,,,,,,,,,,,,
BDI,,,,,,,,9.6,,11.6,,,,,8.3,,,,,,
BEN,,,,21.4,,,,,,16.5,,,,,,20.1,,,,,
BFA,23.2,,,,,,,23.6,,,,26.8,,,,25.1,,,19.3,,
BGD,,32.7,,,32.7,,,,30.2,,,30.8,,,,27.7,,,,,
BOL,15.7,,,,,17.9,,,,,,,,,,,,,,,
CIV,,,29.7,,,,,,,29.6,,,,,,,,,20.5,,
CMR,,28.4,,,,,,,25.2,,,,,,,24.0,,,,19.7,
COD,,,,,23.8,,,,,,,27.2,,,,,,,,,
COG,,,27.3,,,,,,,32.9,,,,,,,,,,,
COL,,,20.5,,,,,19.5,,,,,17.4,,,,,,,,
COM,,,,,,,,,,11.3,,,,,,,,,,,
DOM,,,,,20.6,,,,,,20.5,,,,,,,,,,
EGY,8.1,,9.4,,,9.6,,,,,,10.9,,,,,,,,,
ETH,,,16.6,,,,,,12.4,,,,,12.5,,,13.4,,,,
GAB,,,,,,,,,,27.6,,,,,,,,,19.4,,
GHA,13.8,,,,,13.3,,,,,,14.2,,17.8,,,16.1,,,12.7,
GIN,,,31.8,,,,,,,34.3,,,,,,26.0,,,28.2,,
GMB,,,,,,,,,,,17.5,,,,,,,13.8,,,
GTM,,,,,,,,,,,,,20.7,,,,,,,,
GUY,,,13.8,,,,18.0,,,,,,,,,,,,,,
HND,,,,21.5,,,,,,24.0,,,,,,,,,,,
HTI,,,,14.0,,,,,,14.2,,,,,10.0,,,,,,
IDN,10.4,,,,8.5,,,,,9.5,,,,,7.1,,,,,,
IND,,,,16.0,,,,,,,,,,7.9,,,,,6.8,,
JOR,,,,,4.1,,4.7,,,4.5,,,,,,5.2,,,,,
KEN,23.0,,,,,,17.7,,,,,18.1,19.2,,,,,12.5,,14.4,
KGZ,,,,,,,,,,6.3,,,,,,,,,,,
KHM,,,7.8,,,,,8.2,,,,12.0,,,,,,,,8.9,
LBR,,,,,32.1,,37.6,,35.4,,31.3,,,33.5,,,,30.3,,33.8,
LSO,,20.2,,,,,19.6,,,,,19.1,,,,,,,,,
MAR,,6.5,,,,,,,,,,,,,,,,,,,
MDA,,,6.1,,,,,,,,,,,,,,,,,,
MDG,,34.0,,,,,31.7,,37.1,,35.4,,,38.9,,,,,31.1,,
MDV,,,,,,,2.1,,,,,,,,1.6,,,,,,
MLI,,,,35.5,,,,,,,39.3,,37.7,,,36.0,,,35.2,,
MMR,,,,,,,,,,,,,,5.9,,,,,,,
MOZ,41.0,,,,,,,,37.5,,,,46.4,,,46.4,,,,,34.2
MRT,,,,,,,,,,,,,,,,,,,17.6,,
MWI,,34.1,,,,,,25.6,,35.7,,36.2,,29.0,31.5,,,,,,
NAM,,,,,15.4,,,,,,18.6,,,,,,,,,,
NER,,,,39.3,,,,,,40.4,,,,,,,,,28.5,,
NGA,25.2,,,,,22.9,,25.9,,,22.5,,31.5,,,18.7,,,20.4,,
NPL,,,,18.5,,,,,16.7,,,,,16.7,,,,,,13.1,
PAK,,,,,9.1,,,,,,7.9,,,,,8.1,,,,,
PER,,,,12.2,,13.6,13.7,13.5,12.5,13.2,,,,,,,,,,,
PHL,8.0,,,,,9.9,,,,,10.1,,,,8.6,,,,,5.3,
PNG,,,,,,,,,,,,,,,,12.1,,,,,
RWA,,,4.1,,,5.7,,6.1,,,5.4,,7.3,,6.2,,,5.2,,,
SEN,,,18.9,18.4,,,17.5,,18.7,,15.5,17.6,16.1,15.6,16.4,14.9,13.8,,14.3,,12.3
SLE,,,,,,34.0,,,,,27.9,,,35.0,,,21.3,,,,
STP,,,,,,,22.8,,,,,,,,,,,,,,
SWZ,,,,,22.6,,,,,,,,,,,,,,,,
TCD,,36.6,,,,,,,,,,,35.9,,,,,,,,
TGO,,,,,,,,,,,,16.5,,,18.6,,,,,,
TJK,,,,,,,,,,7.4,,,,,6.8,,,,,,
TLS,,,,,,,,7.2,,,,,,6.9,,,,,,,
TUR,7.5,,,,,5.9,,,,,4.6,,,,,,,,,,
TZA,,,26.0,,,23.2,,22.8,,24.1,,,,26.7,26.4,,,,,21.0,
UGA,,,,24.9,,,21.3,,23.8,,,,24.1,24.8,,,19.6,,,,
UKR,,,,,4.2,,,,,,,,,,,,,,,,
YEM,,,,,,,,,,,10.7,,,,,,,,,,
ZAF,,,,,,,,,,,,,,15.6,,,,,,,
ZMB,,,,,27.9,,,,,,,28.5,,,,29.2,,,,,
ZWE,,,,21.2,,,,,23.5,,,,21.6,,,,,,,,
