country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,69.9913335499946,70.0812659246346,70.1082457815982,70.0432423932699,69.9343596964395,69.8030254231656,69.6689236610772,69.7093798538659,69.9067151246274,69.9961184511146,69.911025522268,69.6785895668577,69.3250915443276,68.8920853714879,68.4348414128373,67.9734478352375,67.5216668534499,67.1686817100479,66.9699139069153,66.7551168098569,66.4457075093688
AFG,47.4929561802291,47.5544385897446,47.6806841112977,47.872283121037,48.1377315470579,48.4650217036667,48.8282510289366,49.2260551369721,49.6380620251503,50.0567833137882,50.4888449766978,50.9303980666568,51.3839679093288,51.843053949596,52.2756584397329,52.6732723441847,53.0470145105464,53.4051619316696,53.7393252349501,54.0650161973572,54.3962586106817
AGO,51.9264269288317,52.0010593307475,52.0638895726361,52.1113870058968,52.1442449228259,52.1529400233703,52.1421151099296,52.1299279990298,52.1221809832928,52.110643381122,52.0969806945144,52.0696201188262,52.0344151201028,52.0323838444687,52.0639319428822,52.10972051613,52.1792554940819,52.2548406993395,52.3460455098597,52.4687842964853,52.6162856035605
ALB,64.2615866296247,64.7160584866188,65.170542224898,65.6110994839565,66.033265550449,66.4557863939707,66.9063216544298,67.3838908889083,67.8454159774467,68.198600414295,68.3856722403311,68.4466928018412,68.4632957891861,68.473513186339,68.411252681582,68.2552118334715,68.0076096803147,67.7110196944345,67.3665631972931,67.0011896981477,66.6560264328305
AND,72.004950673162,72.8180289270097,73.1369598491356,73.2118287879073,73.3437146957345,73.2910550994377,72.9788527560557,72.2883057021783,71.8145353097721,71.8021969440612,71.7050010971693,71.665513921098,71.755561251706,71.8882262075463,72.0474495848161,72.2938452941646,72.4577794922424,72.3830447143965,72.3614948285873,72.3750078414152,72.3341495992876
ARE,80.1836130937062,80.5131083613854,80.7422842185822,80.9708730111197,81.3051319156827,81.5845266712198,81.6611769273503,81.7040705422879,81.7491567206735,81.7319747580354,81.6884573970865,81.6610900166076,81.6642098864586,81.7037621944191,81.7573549214794,81.7897488678028,81.8226037478217,81.8563407363944,81.87240475274,81.8846579747203,81.9654257470884
ARG,62.6897257312446,62.89668860187,63.0960471662271,63.2909967072682,63.4900304155036,63.6641840911527,63.8016799041465,63.9173106797385,63.9901889403356,64.0423079024418,64.0825562537135,64.0920281103568,64.0810849650845,64.0835958950498,64.1137437299744,64.1630568429568,64.2701694847154,64.5074745533578,64.8426321239199,65.2151737723899,65.6063209158354
ARM,66.660611980677,67.1177330597004,67.6501512963722,68.2658072878436,68.9034694211648,69.4318561887033,69.7865213112878,69.9705705545878,69.9991499247162,69.877939557455,69.6400159040937,69.3383433330299,68.961951131008,68.5339571072627,68.1111272919884,67.836738214504,67.6540902691366,67.4875319646095,67.3509680096337,67.2222792072338,67.2436198631987
ASM,58.645263776867,58.891548452955,59.2048324708127,59.5836770170911,60.0155044285638,60.4553270760192,60.8449791096384,61.3216002607349,61.903070379175,62.3676338343519,62.6652594156205,62.8595743089066,63.0186466961685,63.184641445511,63.351490714535,63.509040729937,63.6389890258719,63.9620992132472,64.4418486541392,64.8304252040172,64.9386586982597
ATG,65.9885213907863,66.4606609544014,67.0056085566602,67.5264254875689,67.9819837462058,68.3724913160942,68.7049291340454,69.0912500512772,69.5043552796182,69.8922759569104,70.2382912524343,70.4962541542275,70.7305752217338,70.9122030921762,70.9963744086307,71.0825286496711,71.1197578901859,71.0314003876053,70.877324064148,70.6979750107712,70.544014659944
AUS,67.1841800691336,67.2722217253263,67.351268743388,67.4173909650197,67.468039218311,67.5103706198825,67.4999498462357,67.4018595917306,67.2186509873875,66.9662425056812,66.700299430582,66.4491289382527,66.1974159681463,65.9615614705209,65.7711179415292,65.5972081360588,65.3937724215717,65.1015714818381,64.8273784315574,64.6894260786269,64.5856920862796
AUT,68.0955745461861,68.0379289583851,67.7734463884085,67.5530177305078,67.4691862746705,67.4703488810414,67.4518072985766,67.5198292810067,67.6180439804748,67.5601644337772,67.4266821192924,67.3108310981136,67.234719049435,67.1339749165576,66.974326831199,66.8074529749847,66.6368554183168,66.4370522356064,66.1764816581673,65.8640953229773,65.5333445996897
AZE,66.7527941689393,67.5540532168086,68.2989835817229,69.0272551536037,69.7417733844122,70.4902809165326,71.2322756970336,71.8007526197132,72.0939429460413,72.0406993018106,71.6592530898028,71.2018299395149,70.7521032313631,70.2891585164324,69.9448498293551,69.8692138262529,69.825581884135,69.7266672756005,69.708000115884,69.6758832959182,69.64501196768
BDI,50.9103555800175,51.4868433147449,51.8906332806971,52.108883979009,52.2438106738722,52.4537903510343,52.6720688699614,52.6291122397194,52.3536120374012,52.0409461695939,51.7106229076444,51.3816362371271,50.7329704786026,50.0141465984415,49.7345082830426,49.8778863700716,50.2513129688442,50.6081895938159,51.0189922371954,51.5252590861977,52.1249630965803
BEL,65.5810185943683,65.5889883903071,65.6454734618486,65.8063026840218,65.9793228408001,66.0426206784826,66.0090222493235,65.9424518102042,65.771386607117,65.5288562215249,65.2910824069226,65.0395058250497,64.8430252778753,64.6607620134318,64.4426328280277,64.2447525310394,64.0794211416653,63.9755896544114,63.8651840723626,63.7031280332457,63.5639803078539
BEN,51.9939985365983,52.1632426345376,52.3634625970944,52.503341101053,52.5721666000854,52.6819083474978,52.8534959481769,53.0372644650402,53.1738379185632,53.2872357685967,53.3802257734234,53.4710165776466,53.5644826221245,53.6566169066319,53.7641385473821,53.9063205647746,54.0897463650396,54.3068570880759,54.5541005696013,54.8168372827197,55.0758521637801
BFA,51.3576653204441,51.5825282015707,51.7689568284404,51.8834876764915,51.9077713463878,51.8582859601131,51.7835269369182,51.7142338224256,51.6697037338101,51.6719555176314,51.7114608653578,51.7927902530963,51.9206377296387,52.0971154917605,52.3179781131451,52.5907037810603,52.9380433430521,53.3844208698114,53.904178280731,54.4370275967141,54.9780363536934
BGD,60.0554642158213,60.2870409402001,60.5359621928184,60.7813908631262,61.008240407795,61.2236072332278,61.4616088790656,61.7403305619908,62.0740346987153,62.4844425603217,62.9494570158261,63.4371252223876,63.9150578117155,64.3617117778247,64.6648001467869,64.7973177686173,64.8612797816401,64.9064095313604,64.9516858651805,65.0947523228864,65.3185697725259
BGR,68.5185791442645,68.7918530782264,68.9928895194242,69.0900572674298,69.0726487592805,68.9477660778188,68.7228378321801,68.3958807402685,67.9655488971921,67.4917027281691,66.9753508090845,66.4196171095264,65.8828672924077,65.3990271954816,64.9588436261308,64.5280031853111,64.1335371141353,63.8814581406739,63.8135029889597,63.7634737521873,63.6293606509783
BHR,71.669752340757,72.9855802222064,74.1130747884418,75.0772155742204,75.9072919080201,76.6298880133058,77.3103453811257,77.4677641101048,77.3876548816303,77.8244401271723,77.7848127947515,77.0440675538981,76.9024568320374,77.3742239109572,77.608595170699,77.3842993458645,76.895078686694,76.8265235048484,77.2446859974956,77.4220895374444,77.3701148429395
BHS,65.8489202738236,66.0371944364328,66.225930083107,66.4317186939361,66.733506068612,67.080354238308,67.3211873983628,67.5305290800117,67.7715486281673,67.9851492597934,68.176396545218,68.3452437627192,68.5149599127019,68.7082131293075,68.9149391141785,69.1191505344172,69.3259888845112,69.5367709747703,69.7697623198351,69.9966166798939,70.1737805755801
BIH,69.7782326434484,69.7316364431958,69.6500518858448,69.6823151391293,69.7059543173111,69.6360990990729,69.4958031276918,69.3101863676535,69.1344333839552,69.0044599438137,68.9007380238331,68.7408428286462,68.4674654164134,68.1126823098051,67.6985985141523,67.2051520519634,66.6702435755379,66.193927015007,65.8403513813568,65.5202255864793,65.1376593252337
BLR,69.0761203779204,69.43380909331,69.7655996218803,70.0414736164602,70.3162410103341,70.6788956821645,70.9921979204061,71.2064002518662,71.2520882300624,70.9909034339942,70.5764717728536,70.0684624749577,69.5172848567025,68.9918011391333,68.4886180343404,68.079682439857,67.6546230933346,67.2194165637181,66.8571610783922,66.5333622144506,66.2627417811946
BLZ,57.3136704829782,57.7100245317708,58.103782033064,58.5062795589111,58.9250253292806,59.3558975100333,59.8103411875348,60.4718262580212,61.2875727929899,62.03986675199,62.7488459635802,63.4305612277798,64.0869635986563,64.7671405656627,65.38666109327,65.8339174150145,66.2083023934209,66.6198410231019,67.0852024742852,67.6808207919391,68.166079023511
BMU,69.3488923797006,69.1839181520262,69.0843711629539,69.0165278076185,69.2268626159547,69.6553685258177,69.9803350900653,69.9013738613271,69.4833875965951,69.0954655437891,68.8415770722078,68.7245195107746,68.5882436361058,68.2931826599526,67.9113222237077,67.5604330184393,67.1486733118068,66.6886707464819,66.2224662789259,65.731252461447,65.2098982967016
BOL,57.5285999977902,57.8944114788257,58.2815902587329,58.674485167495,59.0562917385727,59.4221213736977,59.7733808340236,60.1113495957955,60.4436748962139,60.7689737934521,61.0995583241264,61.4525672376484,61.8000754445988,62.1216939737896,62.42532837796,62.7195359063944,63.0065128086121,63.326175000896,63.6895244714713,64.0223930240519,64.307133535789
BRA,66.334991187998,66.7413902065482,67.1082522335636,67.4452226030603,67.7586595062845,68.0598093680495,68.3498187386299,68.6253597695835,68.8890267559546,69.1357813616712,69.3600959635388,69.5321464348522,69.6409897160951,69.7156525862543,69.7489521976535,69.7196181499875,69.6671137738846,69.6446402012395,69.6182628596073,69.5457382256878,69.4304164782911
BRB,67.2225859370297,67.4088470545982,67.6488429733612,67.9266596667055,68.1505113559919,68.1934770611757,68.0947386661073,68.0226781013902,68.0094083052376,67.9879034078086,67.957430716871,67.9205526894391,67.8941897559052,67.887946065326,67.8255422581209,67.6793351157153,67.4642390405661,67.167676021839,66.8376180459442,66.5758116733612,66.4197976878613
BRN,68.9360916463043,69.6034830360672,70.2482896392048,70.8727933363041,71.1861893238242,71.1938813053709,71.1972256317338,71.2205479033064,71.325789300393,71.5334361550117,71.7757938920531,72.023548861969,72.2660325453002,72.4604971419483,72.6002375384729,72.6994274907237,72.7649769585253,72.7870926356186,72.7380094549616,72.6164137035967,72.4645575701849
