country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,42.8753336810776,42.6913039565648,42.6369612856099,42.7685060178669,42.9917617327489,43.260508496231,43.5354448619784,43.4533955008381,43.0477704342006,42.8649842877335,43.0385229703024,43.5153583617747,44.2477876106195,45.1551319021681,46.125005039442,47.1166704939956,48.0999783009656,48.8784687945596,49.3199495334618,49.8010748935576,50.499754678629
AFG,110.557539565476,110.285308007212,109.728525433204,108.889135191956,107.737250564546,106.334375525183,104.799467490534,103.144455694301,101.458308292088,99.7731309368865,98.063558808759,96.3463937851296,94.6132337112821,92.8898712202104,91.2936186853936,89.8496059758101,88.5120276122222,87.2478169146763,86.0834681804276,84.9624893289139,83.8361728436287
AGO,92.580157249846,92.303774744203,92.0716996645369,91.8966478141105,91.7757132003252,91.7437443702865,91.7835468670602,91.8283866159677,91.8569027197923,91.8993770017946,91.9497035468882,92.0505618911043,92.1805019005926,92.1880041070431,92.0715542905016,91.902769414907,91.6470396304726,91.3698274972374,91.0363983104785,90.5895118569742,90.0552252752265
ALB,55.6139978139615,54.5211229067505,53.4435407688365,52.4132353218301,51.4388391998976,50.4759629154815,49.4627290108976,48.4034139161967,47.3939165172533,46.6305668307859,46.2294704388462,46.0991071536934,46.0636824214694,46.0418499954554,46.1747774915453,46.5089593350408,47.0423741169161,47.6864341859845,48.441574280023,49.2511088961547,50.0239297710391
AND,38.8803389762757,37.3267802372418,36.7306571534535,36.5890914083685,36.3435022980084,36.443115338105,37.0265105110991,38.3349616907492,39.2481203007519,39.2727668213457,39.4617752884009,39.5371281507834,39.3616405028095,39.1038735787242,38.7983591750715,38.3256344663857,38.0123080254823,38.1539010890912,38.19592628516,38.168706445238,38.2484697192491
ARE,24.7137727030423,24.2034056488981,23.8508434184053,23.501200223279,22.9934856247938,22.5722525422506,22.4572001454064,22.3929290494442,22.3254188260817,22.3511283233596,22.4163226622205,22.4573333412344,22.4526561983721,22.3933808829188,22.3131514262999,22.2647153045603,22.2156206400823,22.1652541679088,22.1412793084987,22.1229936023157,22.0026623838262
ARG,59.5157720560259,58.9908808603745,58.4885317167095,58.0003526705021,57.5050434620378,57.0741876732807,56.735685768345,56.452142111234,56.2739537637124,56.1467747951315,56.0487044709811,56.0256427923844,56.0522891497333,56.0461721346243,55.9728015245357,55.8529254060554,55.5931801951266,55.0207968902513,54.2195244410156,53.3385463867822,52.4243366823125
ARM,50.0136226039065,48.9919306433595,47.8193074702708,46.4862231466127,45.1305540220802,44.0261431322025,43.2941291937252,42.9172236658305,42.8588952887091,43.1066653605776,43.5955735295585,44.220347328995,45.0074829961521,45.9130890185114,46.8188831337656,47.4127303230816,47.8107543362811,48.1754870679756,48.4759951441955,48.7601980797249,48.7129752599084
ASM,70.518691448924,69.803652012791,68.9081145584726,67.8297112235784,66.6211360869436,65.4113952179195,64.3520985023383,63.0731980984439,61.5414042728503,60.3372175141243,59.578051591171,59.0853640393942,58.6831917894547,58.2654266759565,57.8470671032098,57.4556926788531,57.1339154383,56.3403292698253,55.1793707836832,54.2501595405233,53.9939725849833
ATG,51.5419787917113,50.4654318863849,49.2426514697061,48.0901725183266,47.099596716117,46.2576513962144,45.5499645518839,44.7352796485097,43.8770748616759,43.0773266872172,42.3716756931533,41.8515085655842,41.382691060896,41.0194517155441,40.8522629964658,40.6810867681644,40.6075902613192,40.7838869387943,41.0892979909862,41.4482905722469,41.7566725911073
AUS,48.8445617344122,48.6497650677502,48.4752997933678,48.3296763998251,48.2183232721235,48.1253903251165,48.1482571709664,48.3638611109409,48.7682383229883,49.3289726898378,49.9243673123919,50.4910608998852,51.0633010294012,51.6034455745862,52.0424214921712,52.4455151692804,52.9197584315896,53.6061246381616,54.2558157593525,54.5847729738097,54.8330553856093
