country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGO,,,,,,,,,48.4267692565918,,,,,18.9357891082764,,,,,,,
ALB,,,,,,155.235687255859,,,,,,,,,,,,,,,
ARE,,,,,,,,,,,,,2168.42724609375,2509.55346679688,,2464.56958007812,2476.63110351562,2581.47412109375,2606.78466796875,,
ARG,715.84326171875,763.139038085938,816.841186523438,888.891662597656,971.290100097656,1032.6748046875,1031.64135742188,1119.05029296875,1175.37231445312,1197.65539550781,1193.37329101562,1202.47387695312,1225.50988769531,1254.06677246094,1206.01904296875,1220.93627929688,1224.69934082031,1250.48352050781,1288.134765625,1296.45434570312,
ARM,,,,,,,,,,,,,,,,,,,,1187.43395996094,1039.84777832031
ASM,420.779479980469,158.161117553711,105.76042175293,,,,,,,,,,,,,,,,,,
AUS,,4073.6591796875,,4269.01806640625,,4379.63525390625,,4568.56640625,,,,,,,,,,,,,
AUT,,3186.95385742188,3470.72631835938,3536.82275390625,3823.63134765625,4152.7548828125,4157.93017578125,4379.18212890625,4430.53564453125,4720.81103515625,4782.1240234375,5009.44189453125,5073.4287109375,5400.34765625,5416.080078125,5682.44091796875,5958.8564453125,5829.2861328125,6323.00341796875,6658.548828125,
AZE,,,,,,,,,,,,,,,,,1715.4638671875,1732.373046875,1743.43017578125,1702.31298828125,1663.33947753906
BDI,,,,,,,,,,19.5796909332275,,,,,,22.4815998077393,,,,,
BEL,2985.44677734375,3116.44775390625,3173.07934570312,3318.0859375,3431.08374023438,3447.865234375,3554.67749023438,3755.6357421875,3880.19580078125,4116.6162109375,4161.62060546875,4544.86669921875,4731.81591796875,4798.32666015625,4757.30810546875,5040.00048828125,5290.87939453125,5418.91259765625,6596.7060546875,6983.18994140625,
BFA,,,,,,,,46.5780982971191,,,,,,,,,,,,,
BGR,1224.19555664062,1263.77331542969,1301.70629882812,1348.08728027344,1471.47888183594,1505.7509765625,1593.43115234375,1470.69323730469,1606.20568847656,1537.40661621094,1685.20349121094,1822.03088378906,1976.75903320312,2236.85498046875,2125.46020507812,2343.4873046875,2420.08959960938,2401.16918945312,2346.69580078125,2557.19799804688,
BHR,,,,,,,,,,,,384.093383789062,,,,,,,,,
BIH,55.3468894958496,57.2521896362305,61.4853782653809,164.441436767578,184.205627441406,,,,,155.745727539062,228.014297485352,283.737640380859,353.665313720703,406.854675292969,471.509307861328,459.765258789062,451.012817382812,446.116180419922,445.692810058594,540.147888183594,669.767639160156
BLR,,,,,,,,,,,,,,,,,,1473.37756347656,1439.19653320312,1434.19006347656,1504.35266113281
BOL,,,,,,,143.152954101562,162.982025146484,,,,,,,49.8982582092285,,58.8278999328613,,63.0569000244141,,
BRA,428.485076904297,489.271057128906,515.765991210938,550.497436523438,562.5546875,598.65283203125,634.141052246094,696.099975585938,749.171752929688,801.408935546875,852.716979980469,903.200805664062,,,,,,,,,
BRN,285.357391357422,291.271850585938,,,,,,,,,,,,,,,,,,506.181243896484,
BWA,,,,,,,,,,168.089721679688,179.773345947266,,,,,,,,,,
