country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AGO,,,,,,,,,35.4243,,,,,5.20066,,
ALB,,,,,,39.96433,,,,,,,,,,
ARE,,,,,,,,,,,,,,,,889.5377
ARG,168.76765,180.99878,200.24204,207.45801,194.83778,205.4882,227.03476,247.45846,272.47976,307.17135,320.69368,318.78033,326.07927,328.60276,349.52207,398.051
AUS,,885.3275,,1017.79166,,1136.46069,,,,,,,,,,
AUT,,1468.56351,,1788.90602,1957.95224,,1995.61358,,2168.99483,,2373.68529,,2579.54569,,2648.10229,
BDI,,,,,,,,,,17.60764,,,,,,6.58591
BEL,1467.82196,1404.7929,1426.6391,1348.9584,1384.87556,1461.58834,1471.85887,1316.48045,1377.89573,,,,,,,
BFA,,,,,,,,37.13021,,,,,,,,
BGR,478.58158,480.46182,491.48155,503.60293,480.15804,496.80446,538.30106,498.85468,442.22182,,,,,,,
BHR,,,,,,,,,,,,17.2146,,,,
BIH,45.08538,52.35463,52.6299,65.04022,71.73355,,,,,39.66744,40.76095,52.12364,66.07645,63.72801,66.9546,50.93376
BOL,,,,,,,35.10447,25.62549,,,,,,,,
BRA,371.29267,450.26914,497.05356,526.26259,566.52684,606.16456,681.02727,754.57696,809.69231,863.93363,917.32864,969.90222,,,,
BWA,,,,,,,,,,72.56481,125.088,,,,,
CAN,1463.09482,1621.85129,1642.34836,1761.07271,1982.64275,1960.24685,1789.24417,1520.7527,1555.04655,1369.90891,1378.32254,1352.97622,1455.58808,1247.83745,1268.37307,
CHE,,2338.96985,,,,2854.92025,,,,2682.81316,,,2935.19578,,2619.74154,
CHL,,,,,244.94853,294.72043,213.66577,229.09842,268.65115,308.30247,272.4879,313.67807,284.7413,296.68053,303.46696,
COD,,,,,,,,,,,,,6.66802,,,
CPV,,,,,,,,,8.01833,,,40.51934,,,,
CYP,330.61601,331.48403,366.92907,356.24001,342.63647,292.37198,280.78228,257.2191,256.37724,236.75391,236.59674,264.46031,256.9788,271.40788,325.14267,
CZE,879.07808,922.46694,1342.60439,1538.09037,1489.78097,1451.56853,1525.98946,1515.74334,1619.13561,1739.6253,1788.35536,1873.81717,1825.24397,1828.94553,1957.18198,2186.3591
DEU,1102.20772,1076.26203,1159.00519,1214.18065,1318.31768,1354.20763,1380.22509,1400.66219,1725.48048,1733.25114,1709.52961,1883.19568,1909.85383,1945.70514,2006.65327,
DNK,,,1988.58108,2000.97184,2107.29003,,2236.5603,2260.51353,2123.59784,,,,,,,
DZA,,,34.20843,,,,,,,,,,,,41.86166,
ECU,,,,18.70637,18.81572,29.8712,59.10345,68.55641,77.20072,83.49435,78.56133,89.95827,,,,
EGY,,,,,174.48075,208.85006,243.66857,250.81791,259.76806,267.15345,272.8024,351.62174,343.94633,336.64648,371.19492,369.55568
ESP,851.66246,874.44348,906.50375,1002.53831,1108.12071,1124.66762,1242.57343,1293.31531,1243.61145,1232.99904,1210.76203,1163.05227,1189.6445,1189.22255,1264.92042,
EST,417.36197,479.6251,418.25017,575.08617,598.82645,617.87679,625.68528,680.8793,662.04266,708.90951,802.08512,676.14947,675.11832,710.21109,654.84807,
ETH,,,10.20351,,12.12281,,,16.44227,,,33.09298,,,,33.25717,
FRA,,1753.19275,1720.73252,1861.92102,1825.85921,1861.63937,1895.0048,1882.38567,1876.40812,1874.23047,1836.13681,1809.34158,1798.3546,1804.90705,1805.54395,
FRO,864.39534,,,,,,,,,,,,,,,
