country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,6.0,,,,,,,,37.4,,,,42.3,,,,,,,
AGO,,,,,,,,,,,,,,25.0,,,,,,
ALB,,,98.0,,,,98.6,,,,,,,,,98.4,,,,
AND,,,,,,,,,,100.0,,,,,100.0,,,,,100.0
ARE,,,,,,,,,,100.0,,,,,,100.0,,,,
ARG,,91.0,,,99.0,,,,,99.5,,,,,,,,99.7,,
ARM,,,96.4,,,,,99.6,,,,,,99.3,,,,,,
AUS,,,,,,,,,,100.0,100.0,,,,100.0,,,,,100.0
AUT,,,,,,,,,100.0,,,100.0,,,100.0,,,,,100.0
AZE,,,,93.6,,,,,,,,,,,,,,,,
BDI,,,60.0,,,,,75.2,,,,,,,83.5,,,,,
BEL,,,,,,,,100.0,,,,100.0,,,100.0,,,,,100.0
BEN,,,,53.1,,,,,,80.2,,85.0,,,,85.6,,,,
BFA,,,,64.0,,,,76.9,,,,,,,,,,,,
BGD,,,,10.0,,,,,30.5,,37.0,20.2,,,,25.2,56.0,,,
BGR,,,,,,,,,100.0,100.0,,,,,,,,,,100.0
BHR,,,,,,,,,,,,,,,,100.0,100.0,,,
BIH,,,,99.5,,,,,,,,,,,,,,,,
BLR,,,,,,,,,,100.0,,,,,,,100.0,,,
BLZ,,,,94.0,,,,,95.2,,,,95.7,,,,,,,
BOL,76.7,,,,,75.9,,,,,,,,91.9,,,,,,
BRA,,,89.0,,,91.0,,,92.8,,,95.9,96.4,,,,,,,
BRB,,,,,,,,,,98.7,,,,,,,,,,
BRN,,,,,,,,,,,,,,,,,,99.9,,
BTN,,,,,,,,99.9,,,,,,,,,,,,
BWA,,,,,72.0,72.2,,,,,,83.2,,,87.5,,,,,
CAF,,,,49.0,,,,61.0,,,,,,,,,44.8,,,
CAN,,,,,,,,,100.0,100.0,,,,,100.0,,,,,100.0
CHE,,,,,,,,,100.0,,,100.0,,,100.0,,,,,100.0
CHL,,96.0,,,99.4,99.0,,99.8,99.4,,,,,,,,,,,
CIV,,,49.3,55.0,,,,,,65.0,,,,71.7,,,,,,
CMR,,,,70.0,,,,,61.4,,,66.1,,,,61.9,,,,
COD,,,,,31.3,,,27.8,,,,24.6,,,,40.1,,,,
COG,,,76.8,,,,,,,90.8,,,95.9,,,,,,,
COL,,,90.4,,,,,96.5,,,,,96.8,,,,,,,
COM,,,,,,,,,,87.3,,,,,,,,,,
CPV,,,,,,,,91.4,,,,,,,,,,,,
CRI,,,,,,,,,99.7,,99.6,,,,,,,,,
CUB,,,100.0,,,,,,100.0,,,100.0,,,,,99.8,,,
CYP,,,,,,,,100.0,,,,100.0,,,100.0,,,,,100.0
CZE,,,,,,,,,,100.0,,100.0,,,100.0,,,,,100.0
DEU,,,,,,,,,100.0,,,100.0,,,100.0,,,100.0,,
DJI,,,,91.7,,,,,,,,,,,,,,,,
DNK,,,,,,,,,100.0,,,100.0,,,100.0,,100.0,,,
DOM,,,,78.0,77.8,,,,82.4,81.1,84.1,88.0,,,,,92.2,,,
DZA,,,,99.4,,,,,,,99.6,,,,,,99.6,,,
ECU,,84.9,,,,,,90.0,,92.1,,,94.0,82.0,,,,87.2,,
EGY,,,99.0,,,,,,,,,99.4,,,,,,,,
ESP,,,,,,,,,100.0,,,100.0,,,100.0,,,,,100.0
EST,,,,,,,,,100.0,,,100.0,,,100.0,,,,,100.0
ETH,,,6.6,,,,,,,,,,,2.7,,,,,,
FIN,,,,,,,,,100.0,,,100.0,,,100.0,,,,,100.0
FJI,,,,,,,,,,,,,,,,,,,86.6,
FRA,,,,,,,,,100.0,,,100.0,,,100.0,,,,,100.0
GAB,,,,,,,,,,89.6,,,,,,,,,,
GBR,,,,,,,,100.0,,,,100.0,,,100.0,,,,,100.0
GEO,,,92.0,,,,,,98.5,,99.6,,99.6,,98.5,,,,,
GHA,,,,51.0,,71.2,,,62.5,,,70.5,,,,70.6,,,,
GIN,,,43.2,,,,,,,57.9,,,,75.0,,62.0,,,,
GMB,,,,55.0,,,,52.5,,,72.0,,,,,57.9,,59.0,,
GNB,,,,38.9,,,,24.1,,,,23.7,,,,,46.0,,,
GNQ,,,,,,,,,53.5,,,,,,,,,,,
GRC,,,,,,,,100.0,,,,100.0,,,100.0,,,,,100.0
GTM,,,,,,,96.7,,,,,,96.4,,,,,,,
GUY,,,94.8,93.0,93.3,,87.9,,,,,88.7,,,,,,98.1,,
HND,,,,93.5,,,,,,93.6,,,,,,,97.0,,,
HRV,,,,,,,,,,,,,,,100.0,,,,,
