country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,50656.0,52098.0,53821.0,55159.0,55937.0,56733.0,57487.0,57988.0,58538.0,59387.0,60245.0,60836.0,61390.0,61766.0,61660.0,61630.0,61649.0,61138.0,60456.0,60038.0,59848.0
AFG,17651531.0,18259507.0,18863998.0,19600197.0,19921308.0,20306875.0,21003877.0,21570295.0,22319519.0,23176730.0,23915302.0,24729825.0,25440472.0,26018519.0,26677479.0,27375401.0,28106656.0,28900887.0,29474704.0,29778377.0,30289750.0
AGO,8317808.0,8402369.0,8488111.0,8653806.0,8825902.0,9002183.0,9182436.0,9368480.0,9559468.0,9751708.0,9942412.0,10122547.0,10292801.0,10462422.0,10630872.0,10793137.0,10950410.0,11097413.0,11236852.0,11374345.0,11507131.0
ALB,1684768.0,1645111.0,1604189.0,1561661.0,1517619.0,1473922.0,1432259.0,1393502.0,1358266.0,1324613.0,1291587.0,1258985.0,1226200.0,1195854.0,1167112.0,1137407.0,1106598.0,1075204.0,1041188.0,1005551.0,971992.0
AND,6110.0,6874.0,7521.0,8112.0,8754.0,9181.0,9302.0,9024.0,8769.0,8735.0,8619.0,8523.0,8412.0,8483.0,8741.0,8973.0,9189.0,9351.0,9515.0,9715.0,9885.0
ARE,776778.0,802927.0,827440.0,869179.0,954894.0,1047062.0,1090433.0,1093197.0,1106674.0,1127270.0,1148877.0,1178693.0,1218460.0,1254041.0,1268378.0,1259748.0,1247883.0,1217622.0,1216140.0,1255040.0,1281219.0
ARG,3963080.0,3935934.0,3909522.0,3882967.0,3855215.0,3828167.0,3803176.0,3778328.0,3759932.0,3743539.0,3726391.0,3709966.0,3694242.0,3675773.0,3654277.0,3630442.0,3601925.0,3565194.0,3521217.0,3475067.0,3432229.0
ARM,1141340.0,1138161.0,1134655.0,1130791.0,1126774.0,1122470.0,1117864.0,1113179.0,1110028.0,1111659.0,1113184.0,1111731.0,1109148.0,1104697.0,1099309.0,1094106.0,1089637.0,1086486.0,1083283.0,1081590.0,1084530.0
ASM,6667.0,6706.0,6737.0,6765.0,6790.0,6812.0,6832.0,6852.0,6861.0,6855.0,6833.0,6797.0,6748.0,6688.0,6618.0,6540.0,6453.0,6393.0,6316.0,6190.0,6066.0
ATG,54157.0,55232.0,56350.0,57546.0,58825.0,60190.0,61599.0,62934.0,64142.0,64986.0,65740.0,66418.0,67057.0,67615.0,68111.0,68559.0,68974.0,69405.0,69834.0,70237.0,70610.0
AUS,3087676.0,3096947.0,3110866.0,3128998.0,3161216.0,3199492.0,3240082.0,3264665.0,3283984.0,3318631.0,3353116.0,3380029.0,3405449.0,3435109.0,3466571.0,3491861.0,3515460.0,3529080.0,3502976.0,3515066.0,3567767.0
AUT,3299328.0,3342824.0,3388796.0,3428840.0,3463449.0,3497858.0,3530644.0,3562894.0,3598756.0,3612504.0,3617832.0,3629979.0,3654565.0,3677700.0,3686708.0,3686762.0,3683835.0,3678385.0,3672325.0,3684012.0,3695624.0
