country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,42472.0,43040.0,43814.0,44246.0,44213.0,44184.0,44117.0,43850.0,44053.0,44723.0,45430.0,45971.0,46516.0,46961.0,47075.0,47278.0,47554.0,47449.0,47244.0,47272.0,47511.0
AFG,5081518.0,5301147.0,5540569.0,5823897.0,5988544.0,6175747.0,6462224.0,6713794.0,7028189.0,7383304.0,7707402.0,8062698.0,8391292.0,8682093.0,9011456.0,9367638.0,9749465.0,10168092.0,10525708.0,10800465.0,11165011.0
AGO,9625904.0,10198054.0,10803050.0,11361473.0,11952659.0,12576472.0,13232337.0,13926345.0,14658884.0,15425686.0,16223208.0,17038222.0,17864997.0,18720648.0,19603967.0,20504018.0,21425222.0,22353719.0,23295577.0,24260684.0,25242775.0
ALB,1354848.0,1381828.0,1407298.0,1430886.0,1452398.0,1473392.0,1495260.0,1519519.0,1546929.0,1575788.0,1603505.0,1630119.0,1654503.0,1680247.0,1706345.0,1728969.0,1747593.0,1762645.0,1770478.0,1772138.0,1773980.0
AND,63376.0,67451.0,69900.0,71473.0,73123.0,74314.0,74586.0,71682.0,69014.0,68099.0,66575.0,65214.0,63762.0,63698.0,65022.0,66189.0,67285.0,68029.0,68849.0,69990.0,70971.0
ARE,3415679.0,3626040.0,3837350.0,4139921.0,4669741.0,5255602.0,5616625.0,5776641.0,5997864.0,6264178.0,6544154.0,6880747.0,7286777.0,7681054.0,7954847.0,8086953.0,8197902.0,8183416.0,8359012.0,8819937.0,9202532.0
ARG,34461202.0,34879982.0,35307267.0,35739148.0,36161548.0,36595981.0,37051655.0,37510366.0,37970728.0,38418182.0,38856064.0,39314105.0,39782770.0,40224540.0,40634617.0,41024440.0,41371540.0,41626771.0,41791064.0,41932837.0,42106172.0
ARM,2041160.0,2026739.0,2011745.0,1996309.0,1980626.0,1964630.0,1948136.0,1931621.0,1917872.0,1912441.0,1908816.0,1902069.0,1895452.0,1887603.0,1880091.0,1874894.0,1872863.0,1875014.0,1879017.0,1887610.0,1906370.0
ASM,50304.0,50112.0,49880.0,49609.0,49323.0,49016.0,48696.0,48376.0,48034.0,47634.0,47173.0,46669.0,46130.0,45557.0,44968.0,44368.0,43756.0,43368.0,42909.0,42152.0,41455.0
ATG,23727.0,23487.0,23261.0,23058.0,22879.0,22722.0,22574.0,22386.0,22190.0,22274.0,22324.0,22347.0,22352.0,22354.0,22357.0,22367.0,22390.0,22441.0,22515.0,22603.0,22706.0
AUS,16633061.0,16835775.0,17065978.0,17321968.0,17666406.0,18049707.0,18451571.0,18767085.0,19056040.0,19414834.0,19775013.0,20095657.0,20410546.0,20755798.0,21126017.0,21471397.0,21819366.0,22120168.0,22182436.0,22499333.0,23091181.0
