country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,,,,,,,,,,,,,24.5,,,,,,,,
AGO,,,,,,,,,,,,,,38.0,,,,,,,
ALB,,,,,,,12.9,,,,,,,,,15.2,,,,,
ARG,,,,,,,,,,,,,,,,,,12.5418687936842,,,
ARM,,,19.3,,,,,13.5,,,,,12.5004752925014,12.5,,,,,,,
AZE,,,,15.4,,,,,,,,,,,,,,,,,
BDI,,,,,,,,32.4,,,,,,29.7144665145696,29.7,,,,,,
BEN,,,,27.3,,,,,,32.6,,33.14087487,,,,32.3,,,,29.9,
BFA,29.8,,,,,,,24.5,,,,37.7827344259375,31.1630021532496,28.3607434520764,27.7617713657844,,22.688489424122,26.1668057764887,15.5,21.0264752459695,
BGD,,15.0,,,16.8,,,,13.5,,13.8952247,12.0,,,,12.0,13.6899788914078,,,10.0,
BIH,,,,,,,,,,9.0,,,,,,,,,,,
BLR,,,,,,,,,,7.0,,,,,,,17.5,,,,
BLZ,,,,,,,,,15.9,,,,,22.2482739,,,,,,,
BOL,22.8,,,,,20.1,,,,,,,,23.2,,,,,,,
BRA,,,,,6.0,,,,,,,,,,,,,,,,
BRB,,,,,,,,,,19.9,,,,,,,,,,,
BTN,,,,,,,,11.7,,,,,,,,,,,,,
BWA,,,,,9.6,,,,,,,,,,,,,,,,
CAF,,,,,,,,27.0,,,,,,,,,37.6,,,,
CIV,,,,,,,,,,27.1,,,,30.5,32.2815856897314,25.4552216430589,,26.2931131214908,22.3,22.3591872098161,
CMR,,20.5,,,,,,,23.5,,,17.97390889,,,,23.0,,,,,
COD,,,,,26.9,,,24.2,,,,27.7,,,,28.7459262528731,,,,,
COG,,,19.5,,,,,,,18.4,,,17.912204386543,,,,,,,,
COL,,,8.6,,,,,8.0,,,,,7.0,,,,,,,,
COM,,,,,,,,,,32.3,,,,,,,,,,36.8520509872985,
CPV,,,16.7,,,,,,,,,,,,,,,,,,
CRI,,,,,,,,11.7,7.6,,,,,,,13.7,,,,,
CUB,,,,,,,,,9.1,,,8.02209029,,,,,8.78023721193245,,,,
CZE,,,8.1,,,4.3,,,,,,,,,,,,,,,
DOM,,,,,11.1,,,,,,10.8,11.42111266,,,,,15.3370062735472,,,,
DZA,,,,10.8,,,,,,,7.0,,,,,,14.1,,,,
ECU,,7.4,,,,,,,,8.8,,,,,,7.13849180475182,,,,,
EGY,11.8,,12.3,,,11.6,,,,,,12.6,,,,,,,,,
ERI,,,,,,,,27.4,,,,,,,,,,,,,
EST,,,,7.1,,,,11.1,,,,9.29794272309132,,,,,,,,,
ETH,,,36.1,,,,,,26.3,,,26.4159960383268,24.4336730913768,22.3,22.8612991329009,20.5517558571498,19.9101673791664,19.2,21.2230798223114,,
FJI,,,,,,,,,,,,,,,,,,,25.2625765610159,,
FRA,,,1.7,,,,,,,,,,,,,,,,,,
GAB,,,,,,,,,,26.5,,,,,,,,,33.4,,
GBR,,,,,,,,,,8.12,,,,,,,,,,,
GEO,,,16.3,,,,,12.3,,,,,,,,23.7,,,,,
GHA,34.5,,,,,35.7,,,26.4,,37.2771423857889,29.9,28.8044707913553,32.2759119989817,25.0701136589983,33.5962703591349,,,,23.4,
GIN,,,21.9,,,,,,,23.7,,,,27.6,,22.1,,,,,
GMB,,,,,,,,21.5,,,24.9,,,,,26.5,,24.2,,,
GNB,,,,,,,,6.0,,,,22.31656276,,,,,21.1290986975341,,,,
GNQ,,,,,,,,,33.8,,,,,,,,,,,,
GTM,,,,,,,20.8,,,,,,13.9,,,,,,,,
GUY,,,,,,,28.5,,,,,28.01973942,,,,,,30.5049878835025,,,
HND,,,,16.8,,,,,,10.7,,,,,,,12.8746226158029,,,,
HTI,,,,37.3,,,,,,35.3,,,,,38.0,,,,,,
IDN,13.2,,,,13.1,,,,,11.4,,,14.7598726559029,16.2,10.6,,,,,,
IND,,21.1,,13.9,,20.5,,,,,,,,12.9,,,,,9.4,,
IRN,,,,,,,,5.7,,,,,,,,,,,,,
IRQ,,,,,,,,,8.0,,,,,,,14.33667786,,,,,
JAM,11.7,,,,,10.0,,,,,,,,,,,,,,7.0,
JOR,,,,,13.8,,13.4,,,11.7,,,,,,14.2,,,,,10.8
KAZ,,,,,,,,,11.6,,,,9.804698364,,,15.47,,,,,
KEN,27.4,,,,,,25.6,,,,,17.5,17.3041615689963,15.8349735685071,15.1644145311361,14.2966589819957,15.1076357090888,12.707209564311,14.3,13.9,
KGZ,,,,,,,,,,18.0,,19.09589631,,,,19.73471917,,,,,
KHM,,,25.3,,,,,16.9,,,,12.5,,,,,,,,11.5,
KIR,,,,,,,28.0,,,,,,,,,,17.3,,,,
KOR,,,,,,,,,,,,,,,,,,,8.61,,
LAO,,,27.3,,,,,,,19.93087309,,,,,13.30297503,,,,,,
LBR,,,,,35.7,,,,,,31.1,,,,,,,33.4,,,
LBY,,,,,27.0,,,,,,,40.2,,,,,,,,,
LCA,,,,,,,,,,17.0,,,,,,,,,,,
LKA,,,,,7.3,,,,,,,,,7.5,,,,,,,
LSO,,31.0,,,,,23.3,,,,,18.4,,,,16.00816868,,,,,
MAR,,11.9,,,,,,,10.9,,,,,,,11.3,,,,,
MDA,,,11.4,,,,,,,9.5,,,,,,,,21.2,,,
MDG,,24.5,,,,,19.0,,,,,,,,16.4,15.28783793,,,14.6,,
MDV,,,,,,,28.6,,,,,,,,31.4,,,,,,
MEX,9.9,,,12.0,,,9.8,,,,,11.4,12.92496526,,,10.8,,,,,
MHL,,,,,8.1,,,,,,,,,,,,,,,,
MKD,,,,,,,,,17.2,,,,,,,,10.2779883994419,,,,
MLI,,,,27.6,,,,,,,26.0,,30.68040516,,,23.9,,,,,
MMR,,,,,,,,,,,,,,16.2,,,,,,,
MNE,,,,,,,,,,,21.81680597,,,,,21.0,,,,,
MNG,4.6,,,,,14.4,,,22.3,,17.30773972,,,,,22.57003646,,,,,
MOZ,21.4,,,,,,,,23.9,,,,23.1,,,,,,,,26.6
MRT,,,,,24.6,,,,31.1,,,,33.6,,,,,,31.1,,
MUS,,,,,,,,,,,,12.5,,,,,,,,,
MWI,,30.3,,,,,,26.2,,,,19.43945176,,18.7,,,,15.4285968331741,,,
MYS,,,,,,,,,,,,,,,,,,,,26.7,
NAM,,,,,20.7,,,,,,17.5,,,,,,,,,,
NER,,,,16.1,,,,,,16.0,,,,23.7723582818542,12.0,,,,19.7,20.0281624298771,21.1338730236813
NGA,17.5,,,,,20.2,,,19.4,,16.1,,,27.6164645790072,27.6,18.9,,,23.8518392262455,,
NIC,,,,,7.51977630910015,,,,,5.8,,,,,,,,,,,
NPL,,,,24.7,,,,,27.5,,,25.21313066,,23.7,,,24.7156118588349,,,20.8,
NRU,,,,,23.5,,,,,,,,,,,,,,,,
OMN,,,,,,55.9,,,,,,17.8,,,,,,,,,
PAK,,,,,25.2,,,,,,20.1,,,,,17.3,,,,,
PAN,,,,,,,,,,,18.21213965,,24.2,,,,,,,,
PER,,,,12.2,,12.6,10.9,10.3,9.6,9.3,9.0,8.6,6.5,6.0,6.45465036622701,6.3,6.1,6.1,5.5,5.95,8.9
PHL,22.5,,,,,22.0,,,19.3,,17.5,,,,16.7,,,,,12.4,
PNG,,,,27.4,,,,,,,,,,,,25.9,,,,,
PRK,,,,15.8,,,,14.5,,,,7.0,,,6.6,,,,,,
PRY,,6.6,,,,4.7,,,,,,,,12.13177981,,,,,,,
PSE,,,,,,,,15.6,,,,10.87703799,,,,,,12.9,,,
QAT,,,,,,,,,,12.4,,,,,,,,,,,
ROU,,11.9,,,,,,,,,,,,,,,,,,,
RUS,,,,,,,,,8.0,,,,,,,,,,,,
RWA,,,38.5,,,34.4,,20.8,,,,,18.9,,,,,13.6,,,
SAU,,,,,,,,,,,,,,,,,,,,,21.4
SDN,,,,,,,,28.9,,,,26.57926083,,,,,,,,,
SEN,,,32.0,,,,,,30.1,,29.2,25.6,25.2,23.6,21.9,20.6,21.7,,,,19.1
SLB,,,,,11.1,,,,,,,,34.7,,,,,,,,
SLE,,,,,,28.4,,27.4,,,25.0,,,,26.3,,24.8,,,,
SLV,8.9,,,,,18.4,,,,,,11.09053397,,,,,,,17.7,,
SOM,,,,,,,,,,,,,,,,,36.6,,,,
SRB,,,,,,,,6.6,,,,14.94298544,,,,,8.81409885791106,,,,
SSD,,,,,,,,26.3,,,,,,,,,,,,,
STP,,,,,,,37.6,,,,,32.67369553,,,,,27.0791808988339,,,,
SUR,,,,,,,,16.9,,,,,,,,28.43233445,,,,,
SWZ,,,,,24.7,,,13.0,,,,15.22971275,,,,,,,,20.3726134032003,
SYR,,,,,,,16.4,,,,,,,,,,,,,,
TCA,,,,,,,,,,,,,,,,,,22.032045847538,,,
TCD,,20.6,,,,,,28.3,,,,,22.9,,,,30.2,,,,
TGO,,,,,,,,37.2,,,,33.6,,,34.0,,,,,,
THA,,,,3.1,,,,,,,6.9,,,6.2,,,8.03739804223605,,,8.93881722658571,
TJK,,,,,,,,,,22.9,,,,,22.7,,,,,,
TKM,,,,,,,,,,,,,,12.12470782,,,9.67981052865144,,,,
TLS,,,,,,,,31.5,,,,,,25.3,,,,,,,
TON,,,,,,,,,,25.2,,,,,,,21.8291823111129,,,,
TTO,,,,26.7,,,,,24.3,,,,,,,,,,,23.431259119629,
TUN,,,,,,,,,,7.0,,,,,,19.9,,,,,16.5180478728032
TUR,6.5,,,,,8.6,,,,,5.9,,,,,11.6,,,,,
TUV,,,,,24.2,,,,,,,,,,,,,26.1543342688458,,,
TZA,,,24.3,,,,,22.3,,,,,,22.1,,,,,,21.0,
UGA,,,,38.0,,,,,34.3,,,39.8765681661056,32.7785246063281,28.4,31.9245656075784,27.1536949519022,,23.4851020966008,21.2417507853714,21.8,
UKR,,,,,10.1,,,,,4.9,,,,,,,,,,,
USA,,,,,,5.8,,8.0,,,,,9.0,,,,7.2,,,,
UZB,,,,,,,,,,,,,,,,,,,,10.9609584563432,
VNM,,,,,,,,,4.3,,,6.105269534,,,,,,,10.1043795349935,,
VUT,,,,,,,,,,,24.2,,,,,,,,,,
WSM,,,,,,,47.7,,,,,34.8,,,,,,38.9026721232567,,,
YEM,,,,23.6,,,,,,,28.7,,,,,,,,,,
ZAF,13.8,,,,,,,,,,,,,14.9,,,,,,,
ZMB,,,,,26.6,,,,,,,21.1,,,,19.7,,,,,
ZWE,,,,15.5,,,,,14.6,,,10.38212858,10.4,,,,,,,,
