country_code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ABW,99.0407406487,103.446580885,114.3763044791,117.5171804938,118.4826195857,128.5061326768,92.6955162787,98.3756597683,107.1093788306,108.9783021337,115.0496082487,110.2434069099,100.0,101.5840108876,103.0327938722,101.4970763026,99.4275153863,79.1342950803,94.8633113508
AFG,67.3243040412,74.7301836476,76.0945877851,81.220683738,83.4993428832,84.6998677391,90.0872451862,93.9890986944,94.1690895829,91.9454142326,92.3187980336,93.2366418809,100.0,106.3025336899,108.4152517508,105.630245851,111.9034263703,118.1456362586,106.0297770432
AGO,73.6879107162,88.2764004246,120.6561083599,135.1515252027,142.3762336699,169.702751097,118.5824259233,141.5297906899,177.1952856595,180.05529494,181.7673985543,171.359468654,100.0,87.8934159121,109.7727224356,136.9240600691,126.3241433624,79.7126233723,111.8118495616
ALB,102.0164154947,100.0292353648,98.9610229126,98.9302575305,98.499218272,98.178779208,97.7525072692,102.2687889865,101.8826175886,103.3323295768,102.8552768129,101.1418985703,100.0,101.0767054695,104.0747474235,104.1489992806,103.9745074856,103.9294905175,103.7218886175
AND,99.2880011669,95.5001317312,98.8269728016,108.8042072816,106.6955702116,103.4024983379,106.793564578,101.6821306842,95.84094,95.0803695202,94.455362745,94.9808381652,100.0,99.6802369855,98.7503163236,101.6584212729,101.3067448116,104.3367920028,92.8932972699
ARE,67.0287047053,74.8320456769,90.8951100077,97.3074489833,98.8514181894,114.3594060197,95.5815811867,105.6026427503,117.5718423779,118.2216589123,119.6762851142,118.2314264865,100.0,95.6540007745,102.6888773079,110.2376699338,106.5356213019,98.2129365982,117.3702496525
ARG,74.1212699871,79.2003083899,76.7508926724,80.180206954,84.984043189,95.3377891248,96.0770580912,99.4387795988,109.7172076925,114.2013745808,106.9382505007,104.7441527521,100.0,106.0819485843,103.0075883754,104.24246564,103.3360441909,103.9751808948,113.8988462454
ARM,82.5216045209,87.3492036875,82.7694633003,93.3270826995,93.7098967491,96.1902495832,95.7834875625,109.2163080213,107.0481502937,101.5165870949,98.1111009508,96.7656593165,100.0,104.363566838,111.4233771351,110.8858328447,113.9241657052,119.6303082494,108.2994509607
ASM,69.661751302,74.298346347,69.0963630557,109.9571227217,108.1659329427,93.630082558,94.544875704,96.8567806978,83.3872519442,83.4909725993,83.8260495476,85.5848333757,100.0,112.2250360294,102.5876300296,97.1887515305,97.9346053201,103.9685570159,104.7727364915
ATG,153.8638664694,147.1153301067,133.8221434794,135.6300651725,137.4146655578,147.416222281,143.7337207233,129.4093263969,123.3203213554,120.6933810786,109.1862626922,106.9667399768,100.0,98.0611830789,97.7407867771,94.0341882829,90.6794742509,83.6699034944,93.634208268
AUS,71.3929669076,78.3072318672,88.3760605397,98.0837734861,102.8124156401,117.7240324077,109.9205273385,120.6008930206,135.1506750843,122.6847474371,119.3090103632,111.328732709,100.0,99.8663574458,116.3947033891,118.5722402418,130.2261173843,131.2025024616,163.6917406984
AUT,111.2572087649,109.8231384518,107.8834618667,106.5496837404,107.1542130417,104.2503283939,106.1966859517,103.5135388425,100.3035559455,98.899067151,99.3174924221,99.1404011491,100.0,100.3059621332,98.7762513871,97.3158929447,97.5648016726,98.542558785,96.1309727236
AZE,80.3399905016,93.515606429,114.7018879441,129.413088077,131.8345504808,163.4899151874,109.1959267717,133.6908884614,164.0507101857,169.5714586783,169.4283274165,158.5683903408,100.0,86.1014239841,103.6550822853,126.1502196168,112.5115737836,80.4353770777,156.778992158
BDI,56.8026126899,59.2367065054,72.3949978491,78.4073393,78.3490457676,84.5359664465,86.9405200907,103.6052116274,113.2230937771,106.6340681081,93.0137076964,92.1922980956,100.0,106.800170508,111.7249568717,100.2350765053,103.8631552029,117.1886499176,117.4666923763
BEL,105.3676389411,104.1630716511,102.2857718295,102.0165959151,103.3739992437,100.1066287597,101.6814843459,99.9910952805,98.7246996873,98.1790591858,98.4262771426,98.8530231017,100.0,101.6697104162,100.0735895397,98.6541471033,99.4751273014,100.9367681544,99.3913925514
BEN,81.696949635,82.8084271749,81.8453636996,86.7263266362,87.1608582043,89.7447310739,98.2694453199,106.7527266686,113.1812619682,102.2082039266,102.4281287025,101.8348126598,100.0,104.187473286,108.2195419621,109.1661019886,105.2692489231,106.2110222155,115.8221784973
BFA,93.1861426159,85.7904774618,71.3195614301,71.5722816474,74.0389323026,74.618567609,79.1702265436,98.867837756,111.9676201584,112.0015817565,102.2659870105,96.0210714166,100.0,111.7247653361,111.4453033642,105.1429313925,112.3426159805,142.366837641,120.8802491892
BGD,134.329352035,125.2143861766,117.8874193189,110.50733366,100.0546254098,86.5608222457,98.6289616888,90.0207083445,83.2102115006,90.3009815165,89.7253977983,89.5476753885,100.0,101.5758761056,96.268386867,91.7478266997,94.864178357,98.3821254527,82.8606736549
BGR,84.7716605658,85.4030082747,86.476770242,91.5715134908,93.8237846363,94.0395337484,95.5277186455,96.3280948839,95.4251496554,95.274130554,95.582674235,96.032862928,100.0,101.8389502373,99.832604209,99.0146702156,99.1026167838,103.0951913882,102.1769886661
BHR,74.2334051393,81.0308181534,97.3242407619,112.602796268,110.219330332,122.6926720054,97.3360553633,109.179569895,108.6182169777,105.8130924699,105.5867888701,106.2692416631,100.0,97.6187951201,105.2382414373,108.5529443303,106.2713549187,100.212334687,111.5268408994
BHS,122.509756326,121.8690660257,118.3807633477,115.5312289003,113.6704646576,112.8177020117,102.4278300078,103.7291891502,107.2469294139,107.5229945071,96.6677689668,97.1837894957,100.0,98.8083666839,99.4648444422,99.5086275134,96.3123266499,92.534898234,95.3066039027
BIH,97.4553739045,97.4553010853,97.4025931115,100.4727949086,99.3726428027,97.5007954634,97.5498585552,99.0163827845,99.1687010751,96.7359343239,96.0902190392,96.2669900282,100.0,100.4922452836,100.6222713376,102.3475341548,102.2941577948,103.4242040382,111.7035902517
BLR,99.6631529903,99.612098603,100.562800347,104.4059647279,101.7914580251,112.9791952863,100.4562001826,102.4990760082,111.5537647587,120.8198271682,118.4010118418,116.8975069061,100.0,94.1176470564,98.9397771868,101.9014917673,101.174365925,98.0923503872,98.3878978551
BLZ,92.2770452817,91.5378126854,90.1491240814,97.7491729475,93.453207202,91.3512497931,97.094916812,101.9601766733,104.2133432391,102.5719020632,98.8679718096,99.6298218519,100.0,116.0918663188,111.9672248437,104.8077106756,108.1479886517,111.4370179371,117.8158029042
BMU,73.8159363095,77.7871186675,74.7913861585,76.4614071696,75.9316343306,80.0423472662,71.8448905751,72.8060096818,70.3956967696,64.2277458599,94.4807561149,102.788413348,100.0,101.1500038118,110.0695262619,125.5543009651,129.0458181296,123.4763368183,156.811123771
BOL,93.6047571084,108.3220451181,105.1603294283,118.3715648922,131.822945463,139.0068299116,133.6878416181,140.4699266129,165.8862786663,157.7853601949,140.9960676807,133.600764928,100.0,84.4816777063,94.9377286796,99.6284481701,98.7329587915,98.0072216167,130.7278639156
